관측소명:태안항,,,,,,,,,,,,,,
위도:37.006722,,,,,,,,,,,,,,
경도:126.270222,,,,,,,,,,,,,,
관측시간,유속(cm/s),유향(16points),유향(deg),수온(℃),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),풍향(16points),풍향(deg),기온(℃),기압(hPa),시정(m)
2024-06-01 17:40,42.1,동,98,15.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:50,30.2,동,98,15.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:00,26.1,동남동,103,14.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:10,22.3,동남동,103,14.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:20,14.9,남동,124,15.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:30,24.6,서,276,15.16,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:40,31,남남서,193,15.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:50,21.5,남서,226,15.41,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:00,21.4,남서,231,15.1,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:10,16.4,서남서,252,15.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:20,14.6,동북동,67,15.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:30,17.6,동,98,15.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:40,9.1,동,99,15.37,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:50,18.2,동,97,15.41,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:00,16.6,남동,128,15.07,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:10,14.8,북동,37,15.09,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:20,18.9,북북동,29,14.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:30,26.7,북동,36,14.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:40,22.4,북동,45,14.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:50,37.1,북동,38,14.98,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:00,35.1,북동,37,14.94,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:10,43,북동,40,14.82,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:20,49.5,북동,42,14.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:30,42.6,동,95,14.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:40,45.6,북동,42,14.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:50,46,북동,55,14.31,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:00,49.6,동남동,102,14.29,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:10,59.7,북동,56,14.16,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:20,65,북동,44,14.27,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:30,50.4,북동,44,14.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:40,34.5,동북동,61,14.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:50,32.3,북동,48,13.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:00,41.7,동남동,106,13.92,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:10,33.6,북동,38,13.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:20,33.7,북동,40,13.92,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:30,26.8,동,92,13.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:40,11.6,동북동,67,13.8,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:50,7.6,동,82,13.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:00,13.4,북동,52,13.76,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:10,6.5,동남동,114,13.71,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:20,1.2,북북동,32,13.72,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:30,2.1,남,176,13.71,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:40,5.6,남남동,162,13.7,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:50,21.6,남서,224,13.66,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:00,24,남동,135,13.69,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:10,17.2,남남서,196,13.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:20,23.4,동남동,122,13.71,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:30,33.3,남서,216,13.67,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:40,34.4,남서,229,13.67,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:50,25,남동,126,13.76,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:00,28.9,서남서,249,13.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:10,30.7,서남서,251,13.9,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:20,30.3,서남서,243,13.96,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:30,41.8,남서,230,13.91,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:40,50.4,서남서,243,14.02,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:50,49.4,서남서,244,14.07,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:00,42.3,남서,231,14.02,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:10,57,서남서,237,14.02,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:20,57.1,서남서,238,14.1,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:30,71.3,남서,233,14.15,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:40,69.8,남서,233,14.29,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:50,78.7,남서,231,14.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:00,79,서남서,237,14.28,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:10,79,남서,231,14.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:20,82.7,동,99,14.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:30,72.2,남서,231,14.34,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:40,65.9,남서,227,14.41,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:50,66.3,남서,230,14.42,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:00,64.3,남서,228,14.45,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:10,50.8,남서,227,14.45,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:20,39.1,남서,235,14.44,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:30,30.7,남서,233,14.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:40,19.8,남서,234,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:50,22.3,남서,234,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:00,20.5,남서,231,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:10,17,남서,227,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:20,26.3,남서,218,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:30,16,남서,236,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:40,13.7,서남서,248,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:50,11,서북서,288,14.68,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:00,21.9,서북서,283,14.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:10,17.2,서북서,287,14.87,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:20,17.7,북서,310,14.89,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:30,15.1,북북서,337,14.87,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:40,8,동남동,114,14.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:50,16.6,남동,146,14.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:00,17.6,북북동,16,14.83,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:10,16.3,북북동,30,14.69,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:20,16,동남동,118,14.77,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:30,22,동남동,110,14.71,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:40,18.2,동남동,105,14.71,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:50,26.5,동남동,105,14.68,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:00,25,동남동,108,14.69,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:10,33.8,북동,36,14.66,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:20,33.2,동남동,104,14.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:30,46.8,동남동,104,14.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:40,42.5,북동,40,14.67,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:50,42.9,동,99,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:00,36.3,북동,37,14.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:10,37.5,북동,40,14.19,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:20,56.7,동,100,14.1,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:30,52.8,북동,43,14.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:40,40.9,북동,44,13.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:50,38,북동,46,13.74,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:00,25.9,남동,136,14.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:10,10.7,동남동,113,14.16,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:20,8.7,동남동,112,14.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:30,18.1,동북동,65,14,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:40,12.1,남동,143,13.94,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:50,9.9,동북동,58,13.8,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:00,5.5,북동,36,13.72,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:10,6.7,동,95,13.7,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:20,7.5,북,357,13.72,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:30,2,동남동,120,13.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:40,2.8,서,261,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:50,7.6,남남서,199,13.63,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:00,12.7,남남동,147,13.63,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:10,17.9,남,169,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:20,25.9,남서,229,13.81,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:30,20.6,서남서,251,13.68,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:40,19.3,서남서,241,13.57,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:50,21.7,남동,137,13.55,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:00,17.2,서남서,255,13.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:10,19.9,서남서,240,13.68,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:20,15.3,동남동,114,13.77,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:30,27.2,서남서,241,13.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:40,19.6,남서,234,13.76,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:50,31.5,남서,234,13.85,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:00,37.6,남서,236,13.89,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:10,41.5,서남서,238,14.03,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:20,58.3,서남서,237,14,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:30,44.9,남서,234,14.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:40,59.5,서남서,237,14.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:50,50.1,서남서,237,14.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:00,73.5,남서,232,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:10,82.1,남서,233,14.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:20,87.8,남서,233,14.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:30,96.9,남서,235,14.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:40,77.9,남서,232,14.7,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:50,78.7,남서,232,14.77,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:00,83.5,동,97,14.73,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:10,81,동,99,14.62,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:20,60.1,남서,229,14.7,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:30,63.8,동,97,14.81,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:40,65.5,동,95,15.12,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:50,59.5,동,101,14.92,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:00,57.4,동,97,15.12,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:10,56.6,동,98,15.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:20,42.2,동,97,15.29,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:30,27.8,동,91,15.4,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:40,42.1,동,95,15.26,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:50,28.5,서남서,241,15.3,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:00,25.9,동,92,15.38,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:10,23.2,동,96,15.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:20,21.9,동,99,15.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:30,16.4,동,97,15.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:40,14.4,동,91,15.22,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:50,25.7,동,95,15.38,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:00,23.1,동,88,15.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:10,14.3,동,96,15.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:20,16.3,북,1,15.51,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:30,12.8,남동,126,15.29,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:40,10.8,북북동,29,15.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:50,11.4,동남동,112,15.22,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:00,18.7,동남동,113,15.17,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:10,21.7,동남동,102,15.17,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:20,23.1,북동,35,15.04,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:30,26.9,북북동,33,15,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:40,28.6,북동,35,15.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:50,36.5,북동,34,14.95,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:00,32.5,북동,44,14.96,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:10,38.9,동남동,102,14.9,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:20,39.2,북동,46,14.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:30,44.3,북동,46,14.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:40,48.6,북동,45,14.46,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:50,51.8,북동,38,14.35,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:00,65,북동,43,14.14,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:10,55.4,북동,46,14.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:20,49.3,동,100,13.89,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:30,53,북동,40,13.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:40,20,동,85,14.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 23:50,16,동북동,71,14.07,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:00,19,동남동,122,13.87,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:10,12.7,동,79,13.78,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:20,10.4,동북동,72,13.69,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:30,14,동,79,13.65,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:40,10.2,동,92,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-03 0:50,12.3,동,99,13.58,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:00,4.2,남남동,152,13.57,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:10,4.3,동남동,117,13.56,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:20,1.6,남서,229,13.55,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:30,6.8,남남서,213,13.54,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:40,10,남서,216,13.45,-,-,-,-,-,-,-,-,-,-
2024-06-03 1:50,19.6,남남서,205,13.46,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:00,10.3,남서,223,13.45,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:10,23.6,남서,230,13.43,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:20,21.3,남서,232,13.46,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:30,16.4,남서,230,13.44,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:40,20.3,남서,229,13.37,-,-,-,-,-,-,-,-,-,-
2024-06-03 2:50,22.7,남서,234,13.41,-,-,-,-,-,-,-,-,-,-
2024-06-03 3:00,28.5,남서,231,13.49,-,-,-,-,-,-,-,-,-,-
2024-06-03 3:10,20.8,남서,235,13.61,-,-,-,-,-,-,-,-,-,-
2024-06-03 3:20,27,남서,230,13.67,-,-,-,-,-,-,-,-,-,-
2024-06-03 3:30,37.1,남서,231,13.73,-,-,-,-,-,-,-,-,-,-
2024-06-03 3:40,45.9,남서,235,13.75,-,-,-,-,-,-,-,-,-,-
