°üÃø¼Ò¸í:°í·¡ºÒÇØ¼ö¿åÀå,,,,,,,,,,,,,,,
À§µµ:36.58,,,,,,,,,,,,,,,
°æµµ:129.454083,,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m),ÆÄÇâ(deg)
2024-06-01 1:00,8.2,ºÏºÏµ¿,18,17.72,0.28,5.6,0.35,5,4.4,¼­³²¼­,255,19,1008.3,-,51
2024-06-01 1:05,7.2,ºÏºÏµ¿,26,17.66,0.27,5.9,0.36,6.5,1.9,ºÏ¼­,319,18.9,1008.5,-,68
2024-06-01 1:10,2.9,ºÏ,355,17.61,0.28,5.8,0.44,5,2.3,ºÏ,1,18.6,1008.5,-,38
2024-06-01 1:15,2.6,ºÏºÏ¼­,328,17.56,0.26,5.3,0.32,5.5,2.4,ºÏ,351,18.8,1008.4,-,57
2024-06-01 1:20,2.9,ºÏºÏ¼­,346,17.6,0.28,5.6,0.36,6,1.1,ºÏ,5,18.4,1008.3,-,39
2024-06-01 1:25,4.6,¼­ºÏ¼­,300,17.56,0.24,4.5,0.34,5,0.7,ºÏºÏ¼­,334,18.4,1008.4,-,40
2024-06-01 1:30,5.6,ºÏ¼­,316,17.54,0.28,5.5,0.35,4.5,0.4,³²¼­,231,18.4,1008.4,-,46
2024-06-01 1:35,3.2,ºÏºÏ¼­,338,17.6,0.3,6.3,0.41,6.5,3.6,¼­³²¼­,240,19.1,1008.3,-,58
2024-06-01 1:40,2.1,ºÏ,351,17.51,0.27,5.6,0.4,5.5,4.4,¼­³²¼­,247,19.8,1008.3,-,56
2024-06-01 1:45,3.2,ºÏºÏ¼­,335,17.52,0.25,5.2,0.32,6.5,3,¼­³²¼­,258,19.6,1008.4,-,25
2024-06-01 1:50,2.9,ºÏ¼­,318,17.47,0.26,5.3,0.47,5,1.8,¼­,272,19.5,1008.5,-,77
2024-06-01 1:55,3,ºÏºÏ¼­,332,17.36,0.32,5.7,0.5,4.5,3.8,¼­,259,20,1008.4,-,56
2024-06-01 2:00,4.1,ºÏ¼­,324,17.37,0.25,5.4,0.48,4.5,4.1,¼­,266,20.5,1008.4,-,24
2024-06-01 2:05,4,¼­ºÏ¼­,297,17.4,0.3,5.3,0.48,6,4.5,¼­,263,20.4,1008.5,-,62
2024-06-01 2:10,5.8,ºÏ¼­,309,17.35,0.31,5.3,0.38,5.5,4.6,¼­,261,19.9,1008.5,-,50
2024-06-01 2:15,7.9,ºÏ¼­,312,17.34,0.25,4.7,0.36,4.5,4.2,¼­,260,20.8,1008.5,-,38
2024-06-01 2:20,8,¼­ºÏ¼­,298,17.45,0.25,5.3,0.32,4,3.6,¼­,259,20.8,1008.5,-,50
2024-06-01 2:25,7.2,¼­,281,17.31,0.26,5.3,0.4,3.5,3.9,¼­,263,20.9,1008.5,-,51
2024-06-01 2:30,7.5,¼­,277,17.28,0.24,5.6,0.3,5.5,3.8,¼­³²¼­,252,20.6,1008.5,-,49
2024-06-01 2:35,9.5,¼­,266,17.16,0.28,5.6,0.39,6,3,¼­,267,20.3,1008.5,-,47
2024-06-01 2:40,13,¼­,276,17.08,0.28,5.4,0.38,6.5,3.4,¼­³²¼­,255,20.4,1008.4,-,56
2024-06-01 2:45,11.9,¼­,271,17.06,0.27,5.7,0.39,5.5,3.1,¼­,267,20.4,1008.4,-,47
2024-06-01 2:50,10.6,¼­³²¼­,256,16.99,0.3,5.6,0.48,5.5,3.5,¼­,259,20.2,1008.5,-,60
2024-06-01 2:55,10.1,¼­,261,16.92,0.29,5.6,0.4,3.5,3.1,¼­,261,20.4,1008.5,-,57
2024-06-01 3:00,7.5,¼­³²¼­,256,16.88,0.29,5.6,0.38,5.5,3.7,¼­³²¼­,256,20.1,1008.6,-,54
2024-06-01 3:05,7.2,¼­,260,16.82,0.27,5.6,0.37,4.5,3.2,¼­³²¼­,257,19.9,1008.7,-,49
2024-06-01 3:10,3.4,¼­,281,16.85,0.27,4.8,0.44,5.5,2.5,¼­,260,19.9,1008.7,-,101
2024-06-01 3:15,3.9,ºÏ¼­,308,16.78,0.34,5.5,0.43,5,3.3,³²¼­,235,19.9,1008.6,-,55
2024-06-01 3:20,5.4,ºÏºÏ¼­,341,16.65,0.27,5.2,0.37,5,3.4,¼­³²¼­,243,19.8,1008.7,-,44
2024-06-01 3:25,5,ºÏ¼­,318,16.6,0.28,4.5,0.54,4.5,2.9,³²¼­,236,20,1008.6,-,294
2024-06-01 3:30,5.9,¼­ºÏ¼­,296,16.57,0.28,5.7,0.46,5,4.5,¼­³²¼­,243,20.5,1008.6,-,44
2024-06-01 3:35,5,¼­ºÏ¼­,300,16.55,0.28,5.5,0.43,4.5,4.6,¼­³²¼­,250,20.5,1008.6,-,33
2024-06-01 3:40,6.3,¼­ºÏ¼­,294,16.46,0.25,5.1,0.35,7,4.5,³²¼­,234,20,1008.7,-,55
2024-06-01 3:45,7.2,¼­ºÏ¼­,289,16.39,0.24,4.7,0.31,4,4.6,¼­³²¼­,240,19.9,1008.7,-,69
2024-06-01 3:50,7.1,ºÏ¼­,309,16.33,0.26,4.8,0.37,6,4.9,¼­³²¼­,247,20,1008.7,-,82
2024-06-01 3:55,8.4,ºÏ¼­,316,16.28,0.28,5.5,0.39,5,5.4,¼­³²¼­,248,20.2,1008.7,-,50
2024-06-01 4:00,8.3,ºÏ¼­,316,16.31,0.31,5.3,0.39,5,5.7,¼­³²¼­,252,20.3,1008.7,-,39
2024-06-01 4:05,6.8,ºÏ¼­,314,16.48,0.26,4.9,0.48,5,6.2,¼­³²¼­,252,20.3,1008.6,-,70
2024-06-01 4:10,7.2,¼­ºÏ¼­,303,16.42,0.22,4.2,0.26,7.5,6.6,¼­³²¼­,258,20.3,1008.6,-,56
2024-06-01 4:15,4.5,ºÏ¼­,308,16.52,0.23,4.9,0.34,5.5,5.6,¼­,264,20.7,1008.7,-,41
2024-06-01 4:20,7,¼­,278,16.61,0.24,5,0.36,5.5,5.4,¼­,266,20.6,1008.8,-,51
2024-06-01 4:25,5.5,¼­³²¼­,240,16.74,0.25,5.4,0.33,5,5.1,¼­³²¼­,258,20.5,1008.8,-,44
2024-06-01 4:30,1.7,¼­³²¼­,249,16.82,0.23,5.4,0.3,5.5,5.2,¼­³²¼­,257,20.2,1008.8,-,55
2024-06-01 4:35,3.1,ºÏºÏ¼­,335,16.53,0.26,5.3,0.39,4.5,5.2,¼­³²¼­,249,19.9,1008.8,-,36
2024-06-01 4:40,3.4,ºÏºÏ¼­,336,16.43,0.24,5,0.33,4.5,5.9,¼­³²¼­,254,20,1008.8,-,51
2024-06-01 4:45,5.4,ºÏ¼­,325,16.24,0.3,4.5,0.52,3.5,5.9,¼­³²¼­,253,20.3,1008.8,-,38
2024-06-01 4:50,6.8,ºÏ¼­,325,16.23,0.28,5.1,0.49,5.5,6.7,¼­³²¼­,257,20.2,1008.8,-,323
2024-06-01 4:55,3.1,ºÏ,350,16.37,0.26,4.6,0.33,4,6.7,¼­,281,20.1,1008.8,-,60
2024-06-01 5:00,2,ºÏ¼­,320,16.59,0.24,5.8,0.34,7,6.5,¼­,269,20.5,1008.9,-,39
2024-06-01 5:05,4,ºÏµ¿,40,16.51,0.26,5.6,0.35,8,5.6,¼­,264,20,1009,-,30
2024-06-01 5:10,3.4,ºÏºÏµ¿,16,16.37,0.2,6.1,0.26,9,4.7,¼­,265,20,1009.1,-,49
2024-06-01 5:15,4.7,ºÏºÏµ¿,33,16.1,0.29,5.7,0.43,6.5,5.1,¼­,259,20,1009.1,-,49
2024-06-01 5:20,4.5,ºÏºÏµ¿,26,16.36,0.21,5.1,0.32,5,5.6,¼­³²¼­,254,19.5,1009.2,-,171
2024-06-01 5:25,5.2,ºÏµ¿,37,16.58,0.23,4.8,0.32,6,8.3,¼­,265,19.6,1009,-,28
2024-06-01 5:30,3.4,ºÏµ¿,53,16.62,0.22,4.9,0.3,5.5,7.2,¼­,266,20,1009.2,-,96
2024-06-01 5:35,2.7,ºÏµ¿,42,16.55,0.21,5,0.31,7,6.5,¼­,262,19.8,1009.4,-,20
2024-06-01 5:40,1.7,ºÏµ¿,53,16.57,0.23,5.3,0.33,7,6.3,¼­,268,19.6,1009.4,-,44
2024-06-01 5:45,2.4,µ¿ºÏµ¿,63,16.56,0.25,5.9,0.31,7.5,7.5,¼­,276,19.5,1009.4,-,70
2024-06-01 5:50,2,ºÏºÏµ¿,33,16.56,0.25,6,0.34,5,6.8,¼­ºÏ¼­,283,19.5,1009.6,-,45
2024-06-01 5:55,2,³²³²¼­,203,16.67,0.22,6,0.37,5.5,7.7,¼­ºÏ¼­,282,19.4,1009.5,-,41
2024-06-01 6:00,6.2,¼­³²¼­,248,16.54,0.26,5.7,0.37,4.5,6.5,¼­ºÏ¼­,284,19.3,1009.6,-,31
2024-06-01 6:05,4.7,³²¼­,234,16.55,0.26,5.7,0.33,5.5,6.7,¼­,278,19.1,1009.6,-,34
2024-06-01 6:10,3.2,¼­,263,16.6,0.22,4.8,0.33,6.5,6.4,¼­,278,18.9,1009.7,-,25
2024-06-01 6:15,3.9,¼­³²¼­,258,16.65,0.24,6.1,0.32,7,6.1,¼­,273,18.9,1009.8,-,56
2024-06-01 6:20,0.9,¼­ºÏ¼­,297,16.74,0.21,5.6,0.39,6.5,5.6,¼­,275,18.9,1009.8,-,42
2024-06-01 6:25,1.9,ºÏ,359,16.76,0.23,5.1,0.32,4,7.2,¼­,280,19,1009.9,-,140
2024-06-01 6:30,0.5,³²µ¿,141,16.72,0.2,5.4,0.29,6,7.1,¼­,273,19.1,1009.9,-,47
2024-06-01 6:35,2.9,³²µ¿,129,16.7,0.25,5.8,0.33,6.5,7.6,¼­,270,19.1,1009.8,-,27
2024-06-01 6:40,5.3,µ¿³²µ¿,114,16.68,0.26,6.5,0.33,8,8.3,¼­,265,19.1,1009.6,-,41
2024-06-01 6:45,5.1,³²³²µ¿,148,16.64,0.21,5.4,0.28,4,8.6,¼­,259,19.1,1009.6,-,74
2024-06-01 6:50,6.6,³²µ¿,142,16.59,0.24,6.1,0.33,4.5,7.7,¼­,259,19.1,1009.6,-,42
2024-06-01 6:55,9.3,³²³²µ¿,166,16.53,0.26,5.7,0.4,7.5,8.3,¼­,259,18.9,1009.6,-,59
2024-06-01 7:00,6.8,³²µ¿,129,16.48,0.26,4.8,0.41,6,8,¼­,261,19,1009.6,-,145
2024-06-01 7:05,4,³²³²µ¿,149,16.47,0.26,5.7,0.41,8.5,7.5,¼­,266,18.9,1009.7,-,141
2024-06-01 7:10,7.4,³²µ¿,126,16.42,0.24,5.8,0.41,8.5,7.6,¼­,267,18.8,1009.8,-,47
2024-06-01 7:15,10.2,³²µ¿,131,16.39,0.23,5.2,0.29,7.5,6.8,¼­,261,18.7,1009.9,-,108
2024-06-01 7:20,11.2,³²µ¿,125,16.35,0.26,5.8,0.35,5.5,6.9,¼­³²¼­,257,18.9,1009.8,-,37
2024-06-01 7:25,9.2,µ¿³²µ¿,113,16.32,0.22,5.9,0.34,5.5,5.3,¼­,264,19.3,1009.9,-,53
2024-06-01 7:30,12,µ¿³²µ¿,115,16.29,0.23,5.2,0.36,5.5,4.9,¼­,266,19.5,1009.9,-,33
2024-06-01 7:35,11.7,µ¿³²µ¿,122,16.27,0.21,5.4,0.3,5,4.9,¼­,261,19.8,1010,-,50
2024-06-01 7:40,10.3,µ¿³²µ¿,123,16.27,0.21,5.1,0.27,4.5,4.1,¼­³²¼­,249,19.8,1010,-,49
2024-06-01 7:45,10.3,µ¿³²µ¿,118,16.24,0.21,5.5,0.41,6.5,3.9,¼­³²¼­,253,19.7,1010.1,-,55
2024-06-01 7:50,8.3,³²µ¿,137,16.23,0.22,6.3,0.27,8,2.6,¼­³²¼­,238,20,1010.1,-,40
2024-06-01 7:55,8,³²µ¿,131,16.23,0.26,6.1,0.34,5,1.6,¼­ºÏ¼­,289,20.2,1010.1,-,36
2024-06-01 8:00,9.3,³²µ¿,130,16.22,0.26,6.6,0.4,8.5,4.7,ºÏºÏµ¿,28,19.6,1010.2,-,45
2024-06-01 8:05,9.1,³²µ¿,125,16.18,0.23,5.3,0.3,7.5,4,ºÏµ¿,34,19.3,1010.2,-,50
2024-06-01 8:10,7.2,³²µ¿,130,16.17,0.22,6.2,0.31,4,3.5,ºÏµ¿,43,19.2,1010.2,-,48
2024-06-01 8:15,9.1,³²µ¿,125,16.15,0.23,5.7,0.3,8,3.1,ºÏµ¿,34,19.2,1010.2,-,65
2024-06-01 8:20,8.4,³²µ¿,124,16.09,0.22,5.3,0.27,4.5,2.7,ºÏºÏµ¿,27,19.1,1010.2,-,48
2024-06-01 8:25,8.5,µ¿³²µ¿,123,16.05,0.21,5,0.25,4,3.7,ºÏºÏµ¿,30,19.1,1010.2,-,46
2024-06-01 8:30,9.9,³²µ¿,140,16.03,0.23,6,0.35,6,4.2,ºÏºÏµ¿,29,19.1,1010.2,-,48
2024-06-01 8:35,9.9,³²µ¿,142,16.04,0.23,5.3,0.34,6.5,4.2,ºÏºÏµ¿,31,19.1,1010.2,-,44
2024-06-01 8:40,11.7,³²µ¿,135,16.06,0.22,5.1,0.36,7,3.9,ºÏºÏµ¿,28,19,1010.1,-,32
2024-06-01 8:45,12.9,³²µ¿,136,16.06,0.24,5.3,0.3,7,5.2,ºÏºÏµ¿,24,19.3,1010,-,52
2024-06-01 8:50,16.2,³²µ¿,144,16.08,0.2,5.7,0.27,8,4.5,ºÏºÏµ¿,20,19.5,1010.1,-,29
2024-06-01 8:55,12.2,³²³²µ¿,151,16.1,0.22,4.5,0.32,6.5,4.8,ºÏºÏµ¿,23,19.4,1010,-,216
2024-06-01 9:00,13.6,³²µ¿,145,16.23,0.23,5.6,0.38,3.5,4.9,ºÏºÏµ¿,24,19.4,1009.9,-,52
2024-06-01 9:05,15.8,³²³²µ¿,150,16.27,0.24,5.2,0.33,3.5,5.3,ºÏºÏµ¿,27,19.3,1009.9,-,48
2024-06-01 9:10,12.2,³²³²µ¿,162,16.31,0.27,5.1,0.34,6,5.4,ºÏµ¿,34,19.2,1009.9,-,28
2024-06-01 9:15,14.9,³²³²µ¿,159,16.37,0.23,4.9,0.32,4.5,5,ºÏºÏµ¿,31,19.2,1010,-,25
2024-06-01 9:20,23.9,³²³²¼­,203,16.44,0.27,4.5,0.4,3.5,5.6,ºÏºÏµ¿,28,19.1,1010.1,-,50
2024-06-01 9:25,18.4,³²,185,16.57,0.24,4.7,0.33,4,6.3,ºÏºÏµ¿,27,19,1010,-,138
2024-06-01 9:30,17.6,³²³²¼­,192,16.7,0.23,4.4,0.29,4,6.1,ºÏºÏµ¿,28,18.8,1009.9,-,121
2024-06-01 9:35,15.4,³²³²¼­,192,16.69,0.26,4.6,0.41,4,6.7,ºÏºÏµ¿,28,18.8,1010,-,179
2024-06-01 9:40,14,³²³²¼­,207,16.68,0.28,4.8,0.35,3.5,6,ºÏºÏµ¿,26,18.7,1010,-,26
2024-06-01 9:45,17.9,³²³²¼­,209,16.66,0.29,3.2,0.41,3,6.2,ºÏºÏµ¿,28,18.8,1009.9,-,196
2024-06-01 9:50,15.9,³²³²¼­,208,16.62,0.34,3.1,0.5,3,6.5,ºÏºÏµ¿,31,18.7,1009.9,-,227
2024-06-01 9:55,13.5,³²³²¼­,207,16.65,0.34,3.1,0.55,3.5,6.4,ºÏºÏµ¿,29,18.7,1009.8,-,201
2024-06-01 10:00,12.6,³²³²¼­,197,16.71,0.38,3.7,0.51,3,6.9,ºÏºÏµ¿,23,18.7,1009.9,-,197
2024-06-01 10:05,13.6,³²³²¼­,199,16.67,0.38,3.1,0.61,3.5,7,ºÏºÏµ¿,23,18.6,1009.8,-,218
2024-06-01 10:10,16.2,³²³²¼­,199,16.68,0.39,4.5,0.53,3,7,ºÏºÏµ¿,25,18.6,1009.9,-,189
2024-06-01 10:15,15.2,³²³²¼­,192,16.71,0.36,3.5,0.48,3,6.5,ºÏºÏµ¿,28,18.7,1010,-,214
2024-06-01 10:20,14.9,³²³²¼­,200,16.77,0.41,3.2,0.59,3,6.4,ºÏºÏµ¿,31,18.7,1010,-,229
2024-06-01 10:25,16.7,³²³²¼­,197,16.81,0.51,3.7,0.89,3.5,6.6,ºÏºÏµ¿,32,18.6,1010,-,165
2024-06-01 10:30,13.8,³²³²¼­,211,16.88,0.44,3.3,0.65,3,6.3,ºÏºÏµ¿,33,18.6,1010,-,236
2024-06-01 10:35,15.3,³²³²¼­,199,16.88,0.54,3.4,0.88,3.5,6.1,ºÏºÏµ¿,33,18.7,1010.1,-,218
2024-06-01 10:40,14.2,³²³²¼­,208,16.86,0.45,3.2,0.59,3,6.3,ºÏºÏµ¿,32,18.8,1010,-,218
2024-06-01 10:45,16.8,³²³²¼­,202,17,0.51,3.4,0.7,3.5,5.9,ºÏºÏµ¿,29,18.7,1010,-,196
2024-06-01 10:50,13.7,³²¼­,215,16.91,0.49,3.5,0.73,3.5,6.2,ºÏºÏµ¿,31,18.8,1010,-,269
2024-06-01 10:55,17.7,³²¼­,219,17.01,0.47,3,0.78,3.5,6.1,ºÏºÏµ¿,33,18.8,1010,-,169
2024-06-01 11:00,14.8,³²³²¼­,208,16.98,0.5,3,0.65,3,5.7,ºÏµ¿,35,18.7,1010,-,188
2024-06-01 11:05,19.2,³²¼­,219,17.06,0.52,3.4,0.68,3,5,ºÏºÏµ¿,33,18.7,1010.1,-,294
2024-06-01 11:10,18.7,³²¼­,219,17.09,0.54,3.3,0.71,3,5.6,ºÏºÏµ¿,33,18.6,1010.1,-,149
2024-06-01 11:15,13.7,³²¼­,236,17.1,0.46,3.2,0.64,3.5,5.3,ºÏµ¿,35,18.6,1010.2,-,148
2024-06-01 11:20,13,³²¼­,234,17.07,0.6,3.3,0.92,3.5,6,ºÏµ¿,35,18.7,1010.1,-,222
2024-06-01 11:25,12.1,¼­³²¼­,237,17.17,0.52,4,0.82,3.5,5.4,ºÏºÏµ¿,33,18.6,1010.2,-,248
2024-06-01 11:30,14.4,¼­³²¼­,242,17.35,0.54,3.2,0.9,3.5,5.7,ºÏºÏµ¿,33,18.5,1010.2,-,153
2024-06-01 11:35,12.5,¼­³²¼­,243,17.19,0.55,3.4,0.88,3,6.3,ºÏµ¿,34,18.4,1010.3,-,278
2024-06-01 11:40,14.3,¼­³²¼­,248,17.32,0.47,3.4,0.57,3.5,5.9,ºÏºÏµ¿,30,18.5,1010.3,-,136
2024-06-01 11:45,11.4,¼­³²¼­,245,17.29,0.54,3.4,0.74,4,6.3,ºÏºÏµ¿,26,18.7,1010.1,-,246
2024-06-01 11:50,12,³²¼­,236,17.35,0.45,4,0.63,3.5,6.4,ºÏºÏµ¿,23,18.7,1010.1,-,114
2024-06-01 11:55,13.2,¼­³²¼­,247,17.37,0.48,3.1,0.61,3.5,6.5,ºÏºÏµ¿,17,18.7,1010.2,-,266
2024-06-01 12:00,17,¼­,264,17.5,0.52,3.5,0.72,4,6.7,ºÏºÏµ¿,21,18.6,1010.2,-,199
2024-06-01 12:05,13.1,¼­³²¼­,254,17.43,0.45,3.2,0.68,3.5,6.3,ºÏºÏµ¿,28,18.5,1010.1,-,167
2024-06-01 12:10,11.9,¼­,276,17.5,0.51,3.6,0.81,4,6.9,ºÏºÏµ¿,26,18.4,1009.9,-,23
2024-06-01 12:15,15.2,¼­,269,17.53,0.49,3.3,0.69,4,6.8,ºÏºÏµ¿,26,18.4,1009.8,-,302
2024-06-01 12:20,11.2,¼­,278,17.56,0.49,3.7,0.72,3.5,5.9,ºÏºÏµ¿,24,18.3,1009.8,-,146
2024-06-01 12:25,13.5,¼­ºÏ¼­,288,17.59,0.4,3.5,0.51,3,5.2,ºÏºÏµ¿,21,18.3,1009.9,-,256
2024-06-01 12:30,14.1,¼­ºÏ¼­,284,17.66,0.45,4,0.62,6,5.2,ºÏºÏµ¿,19,18.3,1009.9,-,207
2024-06-01 12:35,11.5,¼­ºÏ¼­,285,17.53,0.49,3.2,0.73,3.5,4.8,ºÏºÏµ¿,15,18.4,1010,-,209
2024-06-01 12:40,13,¼­,273,17.65,0.47,3.5,0.69,3.5,5.2,ºÏºÏµ¿,20,18.4,1010,-,199
2024-06-01 12:45,12.7,¼­,280,17.53,0.48,3.6,0.79,3,4.8,ºÏºÏµ¿,25,18.4,1009.9,-,40
2024-06-01 12:50,14,¼­,278,17.62,0.51,3.7,0.67,3.5,5.5,ºÏºÏµ¿,27,18.4,1009.8,-,108
2024-06-01 12:55,15.6,¼­ºÏ¼­,288,17.72,0.47,4.4,0.61,6,5.5,ºÏºÏµ¿,33,18.4,1009.8,-,197
2024-06-01 13:00,12.2,¼­ºÏ¼­,287,17.73,0.46,3.8,0.76,6.5,5.2,ºÏºÏµ¿,30,18.4,1009.8,-,50
2024-06-01 13:05,11.6,¼­ºÏ¼­,291,17.74,0.46,3.8,0.66,3.5,4.9,ºÏºÏµ¿,31,18.4,1009.8,-,206
2024-06-01 13:10,13.1,¼­,276,17.7,0.45,4,0.64,3,5.2,ºÏµ¿,41,18.4,1009.8,-,50
2024-06-01 13:15,13.4,¼­ºÏ¼­,284,17.7,0.44,4.3,0.7,4,5.3,ºÏµ¿,40,18.6,1009.9,-,35
2024-06-01 13:20,15.5,¼­ºÏ¼­,289,17.79,0.43,3.5,0.58,3.5,5.1,ºÏµ¿,36,18.6,1010,-,98
2024-06-01 13:25,15,¼­ºÏ¼­,290,17.83,0.43,4,0.8,3,4.9,ºÏµ¿,41,18.6,1010,-,220
2024-06-01 13:30,13.4,¼­ºÏ¼­,283,17.81,0.41,4.1,0.66,4,5.9,ºÏµ¿,40,18.6,1009.9,-,210
2024-06-01 13:35,12.7,¼­ºÏ¼­,290,17.88,0.45,3.8,0.69,3.5,5.2,ºÏµ¿,41,18.6,1009.9,-,271
2024-06-01 13:40,13.5,¼­,273,17.98,0.4,4,0.52,3,5.1,ºÏµ¿,39,18.6,1010,-,30
2024-06-01 13:45,15.8,¼­,277,18.03,0.39,4.2,0.53,6,5.2,ºÏµ¿,39,18.7,1010,-,52
2024-06-01 13:50,14.1,¼­,278,18.07,0.43,5.4,0.5,8,5.3,ºÏµ¿,40,18.7,1009.9,-,41
2024-06-01 13:55,12.5,¼­ºÏ¼­,286,18.07,0.41,4.2,0.59,3.5,5.7,ºÏµ¿,42,18.7,1009.9,-,216
2024-06-01 14:00,12.4,¼­ºÏ¼­,283,18.07,0.42,3.6,0.63,3,6.2,ºÏµ¿,36,18.6,1009.9,-,254
2024-06-01 14:05,10.8,¼­ºÏ¼­,288,18.06,0.43,4.5,0.69,7,6.3,ºÏµ¿,40,18.5,1009.9,-,36
2024-06-01 14:10,11.8,¼­ºÏ¼­,292,18.07,0.42,3.5,0.63,3.5,6,ºÏµ¿,38,18.5,1010,-,202
2024-06-01 14:15,13.4,¼­ºÏ¼­,298,18.05,0.44,5,0.66,6.5,6.2,ºÏµ¿,37,18.4,1010.1,-,50
2024-06-01 14:20,9.8,¼­,280,18.04,0.42,4.1,0.54,8,6.4,ºÏµ¿,34,18.3,1010.1,-,40
2024-06-01 14:25,9.2,¼­ºÏ¼­,301,18.02,0.45,3.9,0.64,2.5,6.3,ºÏµ¿,36,18.2,1010,-,298
2024-06-01 14:30,7.9,¼­ºÏ¼­,293,17.99,0.45,3.6,0.63,4,6.1,ºÏµ¿,34,18.2,1010,-,268
2024-06-01 14:35,8.6,¼­ºÏ¼­,282,17.91,0.47,3.3,0.63,3,6,ºÏµ¿,36,18.2,1010.1,-,238
2024-06-01 14:40,4.2,ºÏ¼­,309,17.82,0.46,3.7,0.64,3,5.8,ºÏºÏµ¿,31,18.2,1010.1,-,157
2024-06-01 14:45,2.4,ºÏºÏ¼­,333,17.5,0.48,3.5,0.68,3.5,5.7,ºÏºÏµ¿,26,18.2,1010.2,-,197
2024-06-01 14:50,2.4,¼­,259,17.44,0.46,4.5,0.62,3.5,6.2,ºÏºÏµ¿,23,18.1,1010.2,-,130
2024-06-01 14:55,3.1,³²³²¼­,210,17.33,0.56,4.6,0.78,8,6.1,ºÏºÏµ¿,21,18,1010.3,-,260
2024-06-01 15:00,4.5,³²³²¼­,207,17.36,0.55,3.5,0.72,3,5.5,ºÏºÏµ¿,18,18.1,1010.3,-,226
2024-06-01 15:05,2.4,³²³²¼­,212,17.26,0.44,3.9,0.55,3,6.3,ºÏºÏµ¿,19,18,1010.3,-,181
2024-06-01 15:10,0.9,¼­ºÏ¼­,290,17.37,0.51,3.6,0.68,3.5,6.2,ºÏºÏµ¿,25,18,1010.2,-,256
2024-06-01 15:15,7.7,¼­³²¼­,245,17.55,0.56,3.9,0.85,4,6,ºÏºÏµ¿,20,18,1010.2,-,181
2024-06-01 15:20,8,³²¼­,231,17.58,0.5,4.4,0.67,3.5,6.3,ºÏºÏµ¿,20,18,1010.2,-,165
2024-06-01 15:25,14.4,³²¼­,234,17.81,0.52,3.7,0.8,3.5,6.3,ºÏºÏµ¿,28,17.9,1010,-,212
