°üÃø¼Ò¸í:ÀÎÃµÇ×,,,,,,,,,,,,,,
À§µµ:37.389444,,,,,,,,,,,,,,
°æµµ:126.533055,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 14:00,14.4,µ¿,94,17.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:10,20.3,µ¿³²µ¿,102,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:20,16,³²³²¼­,198,18.05,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:30,17.7,µ¿ºÏµ¿,76,18.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:40,18,µ¿,82,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:50,29.9,µ¿ºÏµ¿,61,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:00,25.5,µ¿ºÏµ¿,72,18.17,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:10,34.3,µ¿ºÏµ¿,62,17.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:20,41.4,µ¿ºÏµ¿,66,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:30,36.8,µ¿ºÏµ¿,72,18.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:40,44.3,µ¿ºÏµ¿,69,18.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:50,39,µ¿ºÏµ¿,72,18.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:00,51.3,µ¿ºÏµ¿,64,18.37,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:10,50.4,µ¿ºÏµ¿,66,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:20,58.3,µ¿ºÏµ¿,68,18.43,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:30,42.4,µ¿ºÏµ¿,69,18.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:40,42.7,µ¿ºÏµ¿,65,18.39,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:50,37.9,µ¿ºÏµ¿,70,18.34,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:00,31.5,µ¿ºÏµ¿,72,17.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:10,38.5,µ¿ºÏµ¿,72,17.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:20,40,µ¿ºÏµ¿,74,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:30,31.5,µ¿,80,18.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:40,30.8,µ¿,80,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:50,28.7,µ¿,89,18.75,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:00,32.7,µ¿³²µ¿,104,18.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:10,36.4,µ¿³²µ¿,119,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:20,32.4,³²µ¿,125,18.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:30,25.8,³²µ¿,131,18.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:40,20.1,³²µ¿,139,18.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:50,13.5,³²³²µ¿,157,18.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:00,6.5,³²µ¿,139,18.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:10,1.9,¼­ºÏ¼­,300,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:20,2.4,µ¿,98,18.42,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:30,14,µ¿ºÏµ¿,57,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:40,17,ºÏµ¿,48,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:50,22.2,µ¿ºÏµ¿,59,18.34,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:00,25.6,ºÏµ¿,56,18.42,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:10,29.3,ºÏµ¿,51,18.41,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:20,33,ºÏµ¿,50,18.34,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:30,35.9,ºÏµ¿,56,18.4,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:40,38.1,ºÏµ¿,51,18.39,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:50,39.3,ºÏµ¿,55,18.36,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:00,38.5,ºÏµ¿,53,18.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:10,42.8,µ¿ºÏµ¿,65,18.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:20,38.9,ºÏµ¿,52,18.43,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:30,36.1,ºÏµ¿,56,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:40,38.8,ºÏµ¿,53,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:50,47.5,ºÏµ¿,54,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:00,49.5,µ¿ºÏµ¿,57,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:10,47.4,ºÏµ¿,56,18.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:20,48.4,µ¿ºÏµ¿,57,18.32,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:30,41.3,µ¿ºÏµ¿,76,18.32,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:40,42.2,µ¿ºÏµ¿,76,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:50,36.9,µ¿ºÏµ¿,78,18.29,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:00,31.8,ºÏµ¿,51,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:10,27.4,µ¿,79,18.17,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:20,23.5,µ¿,85,18.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:30,19.8,ºÏµ¿,41,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:40,18.3,ºÏµ¿,39,17.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:50,14.7,ºÏºÏµ¿,27,17.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:00,10.3,ºÏºÏµ¿,13,17.69,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:10,10.6,ºÏµ¿,35,17.9,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:20,8.9,µ¿ºÏµ¿,70,17.77,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:30,13.8,µ¿ºÏµ¿,59,17.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:40,10.6,³²µ¿,127,17.7,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:50,12.7,µ¿ºÏµ¿,59,17.66,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:00,8,³²µ¿,144,17.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:10,7.1,³²³²µ¿,148,17.55,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:20,8.7,³²³²µ¿,166,17.56,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:30,11.5,³²³²µ¿,168,17.64,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:40,16.8,³²,178,17.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:50,18.2,µ¿ºÏµ¿,60,17.65,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:00,17.7,³²,188,17.65,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:10,23.7,³²,184,17.62,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:20,20.6,µ¿ºÏµ¿,63,17.56,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:30,26.2,³²³²¼­,196,17.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:40,24.4,³²³²¼­,200,17.56,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:50,29.1,³²³²¼­,212,17.49,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:00,37.8,³²¼­,226,17.49,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:10,43,³²¼­,228,17.78,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:20,45,³²¼­,231,17.82,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:30,54.9,³²¼­,233,17.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:40,57.5,¼­³²¼­,238,17.95,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:50,59.6,³²¼­,233,17.91,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:00,58.8,µ¿ºÏµ¿,61,17.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:10,56.6,µ¿ºÏµ¿,63,18.05,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:20,57.5,³²¼­,236,17.91,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:30,48.8,µ¿ºÏµ¿,66,17.94,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:40,56.1,µ¿ºÏµ¿,63,18.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:50,59.3,¼­³²¼­,238,18.3,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:00,57.3,¼­³²¼­,238,18.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:10,54.3,³²¼­,235,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:20,50.3,³²¼­,236,18.15,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:30,46.7,¼­³²¼­,239,18.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:40,45.5,¼­³²¼­,239,18.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:50,44.4,¼­³²¼­,241,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:00,43.7,³²¼­,233,18.29,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:10,43.1,³²¼­,236,18.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:20,32.7,µ¿ºÏµ¿,69,18.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:30,31.4,µ¿ºÏµ¿,63,18.43,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:40,27.9,³²¼­,230,18.42,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:50,18.9,³²¼­,231,18.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:00,20.8,³²¼­,225,18.51,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:10,15.2,µ¿ºÏµ¿,62,18.54,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:20,5.1,³²¼­,222,18.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:30,3.5,ºÏºÏµ¿,32,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:40,10.9,ºÏºÏµ¿,27,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:50,15.1,µ¿ºÏµ¿,66,18.17,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:00,19.9,µ¿ºÏµ¿,58,18.15,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:10,21.5,ºÏµ¿,54,18.16,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:20,23.8,ºÏµ¿,51,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:30,26.9,µ¿ºÏµ¿,58,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:40,28.3,µ¿ºÏµ¿,60,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:50,31.6,ºÏµ¿,55,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:00,29.2,ºÏµ¿,56,18.21,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:10,29.3,ºÏµ¿,50,18.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:20,31.4,ºÏµ¿,52,18.46,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:30,32.7,µ¿ºÏµ¿,61,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:40,29.9,ºÏµ¿,41,18.28,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:50,31.8,ºÏµ¿,38,18.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:00,32.2,ºÏµ¿,37,18.38,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:10,38.1,µ¿ºÏµ¿,63,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:20,39,ºÏµ¿,36,18.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:30,37.7,ºÏºÏµ¿,28,18.42,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:40,34.2,µ¿ºÏµ¿,64,18.62,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:50,35.9,µ¿ºÏµ¿,65,18.43,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:00,32.4,µ¿ºÏµ¿,66,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:10,38.9,µ¿ºÏµ¿,58,17.98,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:20,38.4,ºÏµ¿,49,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:30,37.5,µ¿ºÏµ¿,57,18.19,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:40,32.9,ºÏµ¿,52,18.17,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:50,25.9,ºÏµ¿,47,17.93,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:00,17.8,ºÏµ¿,46,18,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:10,16,ºÏµ¿,41,17.94,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:20,15.2,ºÏµ¿,40,18.02,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:30,10.6,ºÏºÏµ¿,22,17.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:40,10.5,ºÏºÏµ¿,27,17.76,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:50,10.6,ºÏµ¿,40,17.85,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:00,7,ºÏµ¿,55,18.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:10,7.3,µ¿³²µ¿,106,18.19,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:20,6.5,µ¿³²µ¿,119,18.17,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:30,8.8,³²,190,17.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:40,8.3,³²³²¼­,199,17.94,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:50,16.7,³²³²¼­,193,18.05,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:00,19.4,³²³²µ¿,153,17.95,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:10,19.1,³²³²µ¿,153,18.07,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:20,23,µ¿³²µ¿,118,18.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:30,27.8,³²³²¼­,213,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:40,29.9,µ¿³²µ¿,109,18.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:50,13.8,³²¼­,214,18.11,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:00,28.8,µ¿ºÏµ¿,60,17.87,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:10,33.4,³²¼­,220,18.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:20,31.8,³²¼­,221,17.98,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:30,33.2,µ¿ºÏµ¿,59,18.21,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:40,43.7,³²¼­,221,18.27,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:50,37.9,³²¼­,225,17.91,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:00,44.1,³²¼­,224,18.15,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:10,50.4,µ¿ºÏµ¿,59,18.73,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:20,51.9,µ¿ºÏµ¿,61,18.48,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:30,49.1,µ¿ºÏµ¿,61,18.44,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:40,50,µ¿ºÏµ¿,60,18.46,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:50,56,µ¿ºÏµ¿,58,18.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:00,62.9,³²¼­,235,18.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:10,59.7,¼­³²¼­,237,18.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:20,56.6,³²¼­,234,18.51,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:30,51.9,µ¿ºÏµ¿,62,18.66,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:40,55.2,µ¿ºÏµ¿,61,18.35,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:50,55.5,¼­³²¼­,241,18.48,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:00,51.2,µ¿ºÏµ¿,60,18.55,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:10,49.8,¼­³²¼­,246,18.46,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:20,51,µ¿ºÏµ¿,60,18.69,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:30,44.5,µ¿ºÏµ¿,59,18.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:40,42,µ¿ºÏµ¿,67,18.57,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:50,47.3,³²¼­,235,18.92,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:00,36.6,³²¼­,226,18.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:10,27.2,µ¿ºÏµ¿,73,18.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:20,18.3,µ¿ºÏµ¿,75,18.91,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:30,20.5,µ¿ºÏµ¿,71,18.92,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:40,11.1,µ¿ºÏµ¿,74,18.98,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:50,13.5,³²µ¿,127,18.82,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:00,4.2,³²,177,18.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:10,3.7,ºÏºÏµ¿,16,18.77,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:20,8,µ¿ºÏµ¿,58,18.57,-,-,-,-,-,-,-,-,-,-
