°üÃø¼Ò¸í:¿©¼ö,,,,,,,,,,,,,
À§µµ:34.747222,,,,,,,,,,,,,
°æµµ:127.765556,,,,,,,,,,,,,
°üÃø½Ã°£,Á¶À§(cm),¼ö¿Â(¡É),¿°ºÐ(PSU),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:16,175,20.7,32.2,-,-,-,-,7.7,¼­,268,21,1009.2,-
2024-06-01 0:17,176,20.7,32.2,-,-,-,-,6.7,¼­,269,21,1009.2,-
2024-06-01 0:18,177,20.7,32.2,-,-,-,-,7,¼­,271,20.9,1009.2,-
2024-06-01 0:19,178,20.7,32.2,-,-,-,-,6.5,¼­,271,20.9,1009.3,-
2024-06-01 0:20,179,20.7,32.2,-,-,-,-,6.8,¼­,273,20.8,1009.2,-
2024-06-01 0:21,179,20.7,32.2,-,-,-,-,5.8,¼­,270,20.8,1009.3,-
2024-06-01 0:22,179,20.7,32.2,-,-,-,-,5.9,¼­,272,20.8,1009.3,-
2024-06-01 0:23,180,20.7,32.2,-,-,-,-,5.6,¼­,268,20.7,1009.3,-
2024-06-01 0:24,181,20.7,32.2,-,-,-,-,5.6,¼­,266,20.7,1009.3,-
2024-06-01 0:25,182,20.7,32.2,-,-,-,-,6,¼­,271,20.7,1009.4,-
2024-06-01 0:26,180,20.7,32.2,-,-,-,-,5.7,¼­,268,20.7,1009.3,-
2024-06-01 0:27,182,20.7,32.2,-,-,-,-,5.4,¼­,260,20.7,1009.3,-
2024-06-01 0:28,182,20.6,32.2,-,-,-,-,5,¼­,264,20.7,1009.3,-
2024-06-01 0:29,183,20.6,32.2,-,-,-,-,5.6,¼­,268,20.7,1009.3,-
2024-06-01 0:30,183,20.7,32.2,-,-,-,-,5.4,¼­,263,20.6,1009.4,-
2024-06-01 0:31,183,20.7,32.2,-,-,-,-,5.2,¼­,267,20.6,1009.4,-
2024-06-01 0:32,183,20.7,32.2,-,-,-,-,5.5,¼­,264,20.6,1009.4,-
2024-06-01 0:33,185,20.7,32.2,-,-,-,-,4.9,¼­³²¼­,258,20.6,1009.5,-
2024-06-01 0:34,183,20.7,32.2,-,-,-,-,5,¼­,259,20.6,1009.5,-
2024-06-01 0:35,185,20.6,32.2,-,-,-,-,5,¼­³²¼­,255,20.6,1009.5,-
2024-06-01 0:36,185,20.6,32.2,-,-,-,-,4.9,¼­³²¼­,258,20.6,1009.5,-
2024-06-01 0:37,185,20.7,32.2,-,-,-,-,5.1,¼­³²¼­,255,20.6,1009.5,-
2024-06-01 0:38,185,20.6,32.2,-,-,-,-,4.7,¼­,262,20.6,1009.5,-
2024-06-01 0:39,184,20.6,32.2,-,-,-,-,4.7,¼­,260,20.6,1009.5,-
2024-06-01 0:40,184,20.6,32.2,-,-,-,-,4.7,¼­,261,20.6,1009.5,-
2024-06-01 0:41,183,20.6,32.2,-,-,-,-,5.3,¼­³²¼­,257,20.5,1009.5,-
2024-06-01 0:42,183,20.6,32.2,-,-,-,-,6.2,¼­³²¼­,251,20.5,1009.4,-
2024-06-01 0:43,183,20.6,32.2,-,-,-,-,5.9,¼­,259,20.5,1009.4,-
2024-06-01 0:44,182,20.6,32.2,-,-,-,-,5.6,¼­³²¼­,255,20.6,1009.4,-
2024-06-01 0:45,182,20.6,32.2,-,-,-,-,5.1,¼­³²¼­,252,20.6,1009.4,-
2024-06-01 0:46,184,20.6,32.2,-,-,-,-,5.5,¼­³²¼­,256,20.6,1009.3,-
2024-06-01 0:47,184,20.6,32.2,-,-,-,-,5.3,¼­,260,20.6,1009.4,-
2024-06-01 0:48,185,20.6,32.2,-,-,-,-,5.6,¼­,259,20.6,1009.3,-
2024-06-01 0:49,186,20.6,32.2,-,-,-,-,5.6,¼­,260,20.6,1009.4,-
2024-06-01 0:50,186,20.6,32.2,-,-,-,-,5.2,¼­,266,20.6,1009.4,-
2024-06-01 0:51,187,20.6,32.2,-,-,-,-,4.7,¼­,259,20.5,1009.4,-
2024-06-01 0:52,188,20.6,32.2,-,-,-,-,5.7,¼­³²¼­,255,20.5,1009.4,-
2024-06-01 0:53,189,20.6,32.2,-,-,-,-,5.3,¼­³²¼­,257,20.5,1009.4,-
2024-06-01 0:54,190,20.6,32.2,-,-,-,-,5,¼­³²¼­,255,20.5,1009.5,-
2024-06-01 0:55,190,20.6,32.2,-,-,-,-,5,¼­,263,20.5,1009.5,-
2024-06-01 0:56,191,20.6,32.2,-,-,-,-,4.8,¼­³²¼­,256,20.5,1009.5,-
2024-06-01 0:57,192,20.6,32.2,-,-,-,-,4.8,¼­³²¼­,254,20.5,1009.5,-
2024-06-01 0:58,192,20.6,32.2,-,-,-,-,5.2,¼­,265,20.5,1009.5,-
2024-06-01 0:59,193,20.6,32.2,-,-,-,-,4.8,¼­,270,20.5,1009.5,-
2024-06-01 1:00,193,20.6,32.2,-,-,-,-,4.2,¼­,275,20.5,1009.6,-
2024-06-01 1:01,194,20.6,32.2,-,-,-,-,4.6,¼­,279,20.4,1009.5,-
2024-06-01 1:02,194,20.6,32.2,-,-,-,-,4.1,¼­,277,20.5,1009.5,-
2024-06-01 1:03,194,20.6,32.2,-,-,-,-,3.7,¼­,275,20.5,1009.5,-
2024-06-01 1:04,194,20.6,32.2,-,-,-,-,3.9,¼­,274,20.5,1009.5,-
2024-06-01 1:05,194,20.5,32.2,-,-,-,-,3.7,¼­,281,20.5,1009.5,-
2024-06-01 1:06,195,20.6,32.2,-,-,-,-,5.2,¼­,265,20.5,1009.4,-
2024-06-01 1:07,196,20.6,32.2,-,-,-,-,4.8,¼­,270,20.5,1009.5,-
2024-06-01 1:08,196,20.6,32.2,-,-,-,-,4.8,¼­,270,20.5,1009.4,-
2024-06-01 1:09,197,20.6,32.2,-,-,-,-,4.6,¼­,270,20.4,1009.5,-
2024-06-01 1:10,198,20.6,32.2,-,-,-,-,4.6,¼­,264,20.4,1009.5,-
2024-06-01 1:11,199,20.6,32.2,-,-,-,-,4.9,¼­³²¼­,258,20.4,1009.4,-
2024-06-01 1:12,201,20.6,32.2,-,-,-,-,4.9,¼­,264,20.3,1009.4,-
2024-06-01 1:13,203,20.6,32.2,-,-,-,-,5.1,¼­,262,20.3,1009.4,-
2024-06-01 1:14,205,20.6,32.2,-,-,-,-,5.4,¼­,263,20.3,1009.4,-
2024-06-01 1:15,207,20.6,32.2,-,-,-,-,5.8,¼­,263,20.3,1009.3,-
2024-06-01 1:16,209,20.6,32.2,-,-,-,-,5.4,¼­,262,20.4,1009.3,-
2024-06-01 1:17,210,20.5,32.2,-,-,-,-,5,¼­,266,20.4,1009.4,-
2024-06-01 1:18,211,20.5,32.2,-,-,-,-,4.9,¼­,269,20.4,1009.4,-
2024-06-01 1:19,212,20.5,32.2,-,-,-,-,4.4,¼­,276,20.4,1009.5,-
2024-06-01 1:20,212,20.5,32.2,-,-,-,-,4.6,¼­,273,20.4,1009.5,-
2024-06-01 1:21,212,20.5,32.2,-,-,-,-,4.6,¼­,272,20.4,1009.5,-
2024-06-01 1:22,212,20.5,32.2,-,-,-,-,5,¼­,276,20.3,1009.5,-
2024-06-01 1:23,211,20.5,32.2,-,-,-,-,4,¼­,269,20.3,1009.6,-
2024-06-01 1:24,210,20.5,32.2,-,-,-,-,3.4,¼­,273,20.3,1009.6,-
2024-06-01 1:25,210,20.5,32.2,-,-,-,-,4.2,¼­,274,20.3,1009.6,-
2024-06-01 1:26,210,20.5,32.2,-,-,-,-,4.1,¼­,269,20.3,1009.6,-
2024-06-01 1:27,210,20.5,32.2,-,-,-,-,3.2,¼­,275,20.3,1009.6,-
2024-06-01 1:28,210,20.5,32.2,-,-,-,-,4.4,¼­,267,20.3,1009.6,-
2024-06-01 1:29,211,20.5,32.2,-,-,-,-,4.1,¼­,268,20.3,1009.6,-
2024-06-01 1:30,212,20.5,32.2,-,-,-,-,4,¼­,271,20.3,1009.6,-
2024-06-01 1:31,213,20.5,32.2,-,-,-,-,3.8,¼­,272,20.3,1009.6,-
2024-06-01 1:32,215,20.5,32.2,-,-,-,-,4.3,¼­,268,20.3,1009.6,-
2024-06-01 1:33,216,20.5,32.2,-,-,-,-,3.5,¼­,273,20.3,1009.6,-
2024-06-01 1:34,218,20.5,32.2,-,-,-,-,3.7,¼­,269,20.3,1009.6,-
2024-06-01 1:35,219,20.5,32.2,-,-,-,-,4.3,¼­,275,20.3,1009.6,-
2024-06-01 1:36,220,20.5,32.2,-,-,-,-,3.6,¼­,268,20.3,1009.7,-
2024-06-01 1:37,221,20.5,32.2,-,-,-,-,3.6,¼­,267,20.3,1009.7,-
2024-06-01 1:38,221,20.5,32.2,-,-,-,-,4,¼­,271,20.2,1009.7,-
2024-06-01 1:39,222,20.5,32.2,-,-,-,-,3.8,¼­,274,20.2,1009.7,-
2024-06-01 1:40,221,20.4,32.2,-,-,-,-,4.1,¼­,273,20.2,1009.7,-
2024-06-01 1:41,221,20.4,32.2,-,-,-,-,4.3,¼­,276,20.2,1009.7,-
2024-06-01 1:42,221,20.4,32.2,-,-,-,-,4.3,¼­,273,20.2,1009.7,-
2024-06-01 1:43,221,20.5,32.2,-,-,-,-,4.6,¼­,276,20.2,1009.8,-
2024-06-01 1:44,220,20.5,32.2,-,-,-,-,4.9,¼­,278,20.2,1009.8,-
2024-06-01 1:45,220,20.5,32.2,-,-,-,-,4.5,¼­,279,20.3,1009.8,-
2024-06-01 1:46,220,20.5,32.2,-,-,-,-,4.2,¼­,277,20.2,1009.8,-
2024-06-01 1:47,220,20.5,32.2,-,-,-,-,4.6,¼­³²¼­,258,20.2,1009.7,-
2024-06-01 1:48,221,20.5,32.2,-,-,-,-,3.7,¼­,268,20.2,1009.8,-
2024-06-01 1:49,221,20.5,32.2,-,-,-,-,4.4,¼­,278,20.2,1009.8,-
2024-06-01 1:50,222,20.5,32.2,-,-,-,-,3.1,¼­,280,20.2,1009.8,-
2024-06-01 1:51,223,20.5,32.2,-,-,-,-,2.5,¼­,279,20.2,1009.8,-
2024-06-01 1:52,225,20.5,32.2,-,-,-,-,3,¼­,271,20.3,1009.8,-
2024-06-01 1:53,226,20.5,32.2,-,-,-,-,3.3,¼­,269,20.3,1009.8,-
2024-06-01 1:54,228,20.5,32.2,-,-,-,-,3.2,¼­³²¼­,257,20.3,1009.8,-
2024-06-01 1:55,230,20.5,32.2,-,-,-,-,3.1,¼­,267,20.3,1009.8,-
2024-06-01 1:56,231,20.5,32.2,-,-,-,-,4.3,¼­,259,20.2,1009.8,-
2024-06-01 1:57,233,20.5,32.2,-,-,-,-,4.1,¼­,275,20.2,1009.9,-
2024-06-01 1:58,234,20.5,32.2,-,-,-,-,3.4,¼­,263,20.3,1009.9,-
2024-06-01 1:59,235,20.5,32.2,-,-,-,-,3,¼­ºÏ¼­,284,20.3,1009.9,-
2024-06-01 2:00,235,20.4,32.2,-,-,-,-,3.1,¼­,275,20.2,1009.9,-
2024-06-01 2:01,236,20.4,32.2,-,-,-,-,2.9,¼­,264,20.2,1009.9,-
2024-06-01 2:02,235,20.4,32.2,-,-,-,-,3.8,¼­³²¼­,257,20.2,1009.9,-
2024-06-01 2:03,235,20.4,32.2,-,-,-,-,4.5,¼­,272,20.2,1009.9,-
2024-06-01 2:04,235,20.4,32.2,-,-,-,-,3.4,¼­,259,20.2,1009.9,-
2024-06-01 2:05,235,20.4,32.2,-,-,-,-,4.1,¼­,268,20.2,1009.9,-
2024-06-01 2:06,235,20.4,32.2,-,-,-,-,2.9,¼­,264,20.1,1009.9,-
2024-06-01 2:07,236,20.5,32.2,-,-,-,-,3.1,¼­,267,20.1,1009.9,-
2024-06-01 2:08,236,20.5,32.2,-,-,-,-,2.5,¼­,271,20.1,1010,-
2024-06-01 2:09,237,20.4,32.2,-,-,-,-,3.1,¼­,266,20.1,1009.9,-
2024-06-01 2:10,238,20.4,32.2,-,-,-,-,2.7,¼­,270,20.1,1009.9,-
2024-06-01 2:11,238,20.4,32.2,-,-,-,-,2.3,¼­,267,20.1,1009.9,-
2024-06-01 2:12,240,20.5,32.2,-,-,-,-,2.5,¼­,263,20.1,1009.9,-
2024-06-01 2:13,241,20.4,32.2,-,-,-,-,2.8,¼­,267,20.1,1009.9,-
2024-06-01 2:14,242,20.4,32.2,-,-,-,-,1.9,¼­,262,20.1,1009.9,-
2024-06-01 2:15,243,20.4,32.2,-,-,-,-,2.3,¼­,262,20,1009.9,-
2024-06-01 2:16,245,20.4,32.2,-,-,-,-,1.8,¼­,263,20.1,1009.9,-
2024-06-01 2:17,245,20.4,32.2,-,-,-,-,2,¼­,266,20.1,1009.9,-
2024-06-01 2:18,247,20.4,32.2,-,-,-,-,1.7,¼­,259,20.1,1009.9,-
2024-06-01 2:19,248,20.5,32.2,-,-,-,-,1.8,¼­³²¼­,258,20,1009.9,-
2024-06-01 2:20,248,20.4,32.2,-,-,-,-,2,¼­,268,20,1009.9,-
2024-06-01 2:21,249,20.4,32.2,-,-,-,-,1.9,¼­³²¼­,251,20,1009.9,-
2024-06-01 2:22,248,20.4,32.2,-,-,-,-,2.5,¼­ºÏ¼­,285,20,1009.9,-
2024-06-01 2:23,248,20.4,32.2,-,-,-,-,3.9,¼­,259,20.1,1009.9,-
2024-06-01 2:24,247,20.4,32.2,-,-,-,-,1.8,¼­,263,20.1,1010,-
2024-06-01 2:25,246,20.4,32.2,-,-,-,-,2.3,¼­,270,20.2,1010,-
2024-06-01 2:26,246,20.4,32.2,-,-,-,-,2.5,¼­,262,20.2,1010,-
2024-06-01 2:27,245,20.3,32.2,-,-,-,-,2.9,¼­,264,20.1,1010,-
2024-06-01 2:28,245,20.4,32.2,-,-,-,-,3.5,¼­³²¼­,256,20.1,1010,-
2024-06-01 2:29,245,20.4,32.2,-,-,-,-,3.6,¼­,267,20.1,1010,-
2024-06-01 2:30,246,20.3,32.2,-,-,-,-,4.1,¼­,262,20.1,1010,-
2024-06-01 2:31,246,20.3,32.2,-,-,-,-,3.6,¼­ºÏ¼­,283,20.1,1010,-
2024-06-01 2:32,247,20.3,32.2,-,-,-,-,1.8,¼­ºÏ¼­,286,20.1,1010,-
2024-06-01 2:33,249,20.4,32.2,-,-,-,-,3.3,¼­,276,20.2,1010,-
2024-06-01 2:34,250,20.4,32.2,-,-,-,-,4.2,ºÏ¼­,305,20.2,1010,-
2024-06-01 2:35,251,20.4,32.2,-,-,-,-,3.2,¼­ºÏ¼­,293,20.2,1010,-
2024-06-01 2:36,253,20.3,32.2,-,-,-,-,4.1,¼­ºÏ¼­,302,20.3,1010,-
2024-06-01 2:37,254,20.3,32.2,-,-,-,-,3.4,¼­,270,20.3,1010,-
2024-06-01 2:38,255,20.3,32.2,-,-,-,-,2.1,ºÏ¼­,306,20.3,1010,-
2024-06-01 2:39,257,20.4,32.2,-,-,-,-,2.2,¼­ºÏ¼­,299,20.3,1010,-
2024-06-01 2:40,257,20.4,32.2,-,-,-,-,2.7,¼­,270,20.2,1009.9,-
2024-06-01 2:41,258,20.4,32.2,-,-,-,-,3,¼­,266,20.2,1009.8,-
2024-06-01 2:42,258,20.3,32.2,-,-,-,-,2.8,¼­,276,20.2,1009.8,-
2024-06-01 2:43,259,20.3,32.2,-,-,-,-,2,¼­ºÏ¼­,282,20.2,1009.8,-
2024-06-01 2:44,258,20.3,32.2,-,-,-,-,3,¼­,269,20.2,1009.8,-
2024-06-01 2:45,258,20.3,32.2,-,-,-,-,3.9,¼­ºÏ¼­,288,20.2,1009.8,-
2024-06-01 2:46,257,20.3,32.2,-,-,-,-,4,¼­,281,20.2,1009.7,-
2024-06-01 2:47,256,20.2,32.2,-,-,-,-,2.2,¼­ºÏ¼­,299,20.3,1009.8,-
2024-06-01 2:48,255,20.3,32.2,-,-,-,-,2.4,¼­ºÏ¼­,294,20.3,1009.7,-
2024-06-01 2:49,255,20.2,32.2,-,-,-,-,1.9,¼­ºÏ¼­,288,20.3,1009.7,-
2024-06-01 2:50,254,20.2,32.2,-,-,-,-,1.6,¼­ºÏ¼­,300,20.3,1009.7,-
2024-06-01 2:51,254,20.3,32.2,-,-,-,-,1.6,¼­,275,20.2,1009.8,-
2024-06-01 2:52,254,20.3,32.2,-,-,-,-,1.6,¼­,268,20.2,1009.8,-
2024-06-01 2:53,255,20.3,32.2,-,-,-,-,2.5,ºÏ¼­,322,20.2,1009.8,-
2024-06-01 2:54,255,20.3,32.2,-,-,-,-,0.5,ºÏºÏ¼­,330,20.2,1009.8,-
2024-06-01 2:55,256,20.3,32.2,-,-,-,-,1.8,¼­ºÏ¼­,290,20.2,1009.8,-
2024-06-01 2:56,258,20.3,32.2,-,-,-,-,2,¼­,265,20.2,1009.7,-
2024-06-01 2:57,259,20.3,32.2,-,-,-,-,1.6,¼­,276,20.2,1009.7,-
2024-06-01 2:58,260,20.3,32.2,-,-,-,-,2.5,¼­ºÏ¼­,286,20.3,1009.6,-
2024-06-01 2:59,261,20.3,32.2,-,-,-,-,4.2,ºÏ¼­,309,20.3,1009.5,-
2024-06-01 3:00,262,20.3,32.2,-,-,-,-,3.5,ºÏ¼­,308,20.4,1009.5,-
2024-06-01 3:01,263,20.3,32.2,-,-,-,-,2.5,¼­,269,20.4,1009.5,-
2024-06-01 3:02,263,20.3,32.2,-,-,-,-,1,¼­,266,20.3,1009.5,-
2024-06-01 3:03,263,20.3,32.2,-,-,-,-,2.6,¼­³²¼­,258,20.3,1009.5,-
2024-06-01 3:04,263,20.3,32.2,-,-,-,-,1.8,¼­,264,20.3,1009.5,-
2024-06-01 3:05,263,20.3,32.2,-,-,-,-,0.9,¼­³²¼­,255,20.2,1009.6,-
2024-06-01 3:06,263,20.3,32.2,-,-,-,-,1.3,¼­,279,20.2,1009.6,-
2024-06-01 3:07,262,20.3,32.2,-,-,-,-,2,ºÏ¼­,317,20.2,1009.7,-
2024-06-01 3:08,261,20.3,32.2,-,-,-,-,2,ºÏ¼­,309,20.2,1009.7,-
2024-06-01 3:09,260,20.3,32.2,-,-,-,-,2.4,¼­,270,20.2,1009.6,-
2024-06-01 3:10,259,20.3,32.2,-,-,-,-,2,¼­,271,20.2,1009.7,-
2024-06-01 3:11,259,20.3,32.2,-,-,-,-,3.2,¼­,277,20.2,1009.6,-
2024-06-01 3:12,258,20.3,32.2,-,-,-,-,3.1,ºÏ¼­,321,20.2,1009.7,-
2024-06-01 3:13,258,20.3,32.2,-,-,-,-,2.8,¼­ºÏ¼­,287,20.3,1009.6,-
2024-06-01 3:14,259,20.3,32.2,-,-,-,-,2.1,¼­,280,20.3,1009.6,-
2024-06-01 3:15,259,20.3,32.2,-,-,-,-,2.2,¼­ºÏ¼­,292,20.4,1009.6,-
2024-06-01 3:16,260,20.3,32.2,-,-,-,-,1.8,¼­,268,20.4,1009.6,-
2024-06-01 3:17,261,20.3,32.2,-,-,-,-,2.4,¼­,270,20.3,1009.6,-
2024-06-01 3:18,263,20.3,32.2,-,-,-,-,2,¼­ºÏ¼­,298,20.3,1009.6,-
2024-06-01 3:19,265,20.3,32.2,-,-,-,-,2.4,ºÏ¼­,322,20.3,1009.6,-
2024-06-01 3:20,267,20.3,32.2,-,-,-,-,2.1,ºÏ¼­,314,20.4,1009.6,-
2024-06-01 3:21,269,20.3,32.2,-,-,-,-,0.7,¼­ºÏ¼­,299,20.4,1009.7,-
2024-06-01 3:22,270,20.3,32.2,-,-,-,-,1.6,³²¼­,224,20.5,1009.7,-
2024-06-01 3:23,272,20.3,32.2,-,-,-,-,2.8,¼­ºÏ¼­,297,20.4,1009.6,-
2024-06-01 3:24,273,20.3,32.2,-,-,-,-,2.3,¼­,280,20.4,1009.8,-
2024-06-01 3:25,274,20.3,32.2,-,-,-,-,1.1,¼­ºÏ¼­,283,20.4,1009.8,-
2024-06-01 3:26,274,20.3,32.2,-,-,-,-,0.8,ºÏºÏ¼­,329,20.4,1009.8,-
2024-06-01 3:27,274,20.3,32.2,-,-,-,-,1.1,ºÏºÏ¼­,345,20.4,1009.8,-
2024-06-01 3:28,274,20.3,32.2,-,-,-,-,1.7,ºÏ¼­,306,20.3,1009.8,-
2024-06-01 3:29,273,20.3,32.2,-,-,-,-,3,¼­,262,20.3,1009.7,-
2024-06-01 3:30,272,20.3,32.2,-,-,-,-,1.3,¼­,270,20.3,1009.6,-
2024-06-01 3:31,271,20.3,32.2,-,-,-,-,0.6,¼­ºÏ¼­,295,20.3,1009.6,-
2024-06-01 3:32,271,20.3,32.2,-,-,-,-,0.2,ºÏ¼­,325,20.2,1009.6,-
2024-06-01 3:33,270,20.3,32.2,-,-,-,-,1.7,ºÏ¼­,316,20.3,1009.6,-
2024-06-01 3:34,270,20.3,32.2,-,-,-,-,0.6,¼­ºÏ¼­,294,20.3,1009.7,-
2024-06-01 3:35,270,20.3,32.2,-,-,-,-,0.6,ºÏ¼­,323,20.3,1009.7,-
2024-06-01 3:36,270,20.3,32.2,-,-,-,-,0.5,¼­,273,20.3,1009.7,-
2024-06-01 3:37,271,20.3,32.2,-,-,-,-,1.4,¼­³²¼­,257,20.3,1009.6,-
2024-06-01 3:38,272,20.3,32.2,-,-,-,-,2.4,³²¼­,219,20.2,1009.5,-
2024-06-01 3:39,273,20.3,32.2,-,-,-,-,2.7,¼­,262,20.2,1009.5,-
2024-06-01 3:40,275,20.3,32.2,-,-,-,-,2,¼­,271,20.2,1009.6,-
2024-06-01 3:41,277,20.3,32.2,-,-,-,-,1.5,¼­ºÏ¼­,297,20.3,1009.6,-
2024-06-01 3:42,279,20.3,32.2,-,-,-,-,1.2,ºÏ¼­,318,20.3,1009.6,-
2024-06-01 3:43,280,20.3,32.2,-,-,-,-,0.1,ºÏ¼­,312,20.3,1009.6,-
2024-06-01 3:44,282,20.3,32.2,-,-,-,-,0.1,¼­,275,20.3,1009.6,-
2024-06-01 3:45,283,20.3,32.2,-,-,-,-,1.2,¼­³²¼­,246,20.3,1009.5,-
2024-06-01 3:46,284,20.3,32.2,-,-,-,-,2,¼­ºÏ¼­,283,20.2,1009.5,-
2024-06-01 3:47,285,20.3,32.2,-,-,-,-,1.8,ºÏ¼­,307,20.2,1009.4,-
2024-06-01 3:48,285,20.3,32.2,-,-,-,-,1.4,ºÏ¼­,311,20.2,1009.5,-
2024-06-01 3:49,285,20.3,32.2,-,-,-,-,1,¼­ºÏ¼­,296,20.2,1009.5,-
2024-06-01 3:50,284,20.3,32.2,-,-,-,-,1.9,³²¼­,221,20.2,1009.5,-
2024-06-01 3:51,283,20.3,32.2,-,-,-,-,1.9,¼­³²¼­,249,20.1,1009.5,-
2024-06-01 3:52,282,20.3,32.2,-,-,-,-,1.8,¼­³²¼­,239,20,1009.5,-
2024-06-01 3:53,280,20.3,32.2,-,-,-,-,0.9,³²¼­,235,20,1009.5,-
2024-06-01 3:54,279,20.3,32.2,-,-,-,-,1.6,¼­,270,19.9,1009.5,-
2024-06-01 3:55,277,20.3,32.2,-,-,-,-,2.3,³²¼­,217,19.9,1009.5,-
2024-06-01 3:56,276,20.3,32.2,-,-,-,-,2.4,³²¼­,222,19.9,1009.5,-
2024-06-01 3:57,275,20.2,32.2,-,-,-,-,2.2,³²¼­,222,19.9,1009.5,-
2024-06-01 3:58,275,20.2,32.2,-,-,-,-,2.3,³²³²¼­,208,19.8,1009.5,-
2024-06-01 3:59,275,20.2,32.2,-,-,-,-,2.4,³²³²¼­,206,19.8,1009.5,-
2024-06-01 4:00,276,20.2,32.2,-,-,-,-,2.8,³²,188,19.8,1009.5,-
2024-06-01 4:01,276,20.2,32.2,-,-,-,-,1.8,³²,183,19.8,1009.5,-
2024-06-01 4:02,277,20.2,32.2,-,-,-,-,2.4,³²,181,19.8,1009.5,-
2024-06-01 4:03,278,20.2,32.2,-,-,-,-,2.1,³²,185,19.8,1009.5,-
2024-06-01 4:04,279,20.2,32.2,-,-,-,-,1.7,³²,181,19.8,1009.5,-
2024-06-01 4:05,280,20.2,32.2,-,-,-,-,1.6,¼­³²¼­,254,19.8,1009.5,-
2024-06-01 4:06,280,20.2,32.2,-,-,-,-,1.4,¼­,267,19.8,1009.5,-
2024-06-01 4:07,280,20.2,32.2,-,-,-,-,1.8,³²¼­,230,19.8,1009.5,-
2024-06-01 4:08,281,20.2,32.2,-,-,-,-,1.9,³²¼­,216,19.8,1009.5,-
2024-06-01 4:09,281,20.2,32.2,-,-,-,-,1.9,³²³²¼­,197,19.8,1009.5,-
2024-06-01 4:10,280,20.3,32.2,-,-,-,-,1.9,³²³²¼­,199,19.7,1009.5,-
2024-06-01 4:11,280,20.2,32.2,-,-,-,-,1.7,³²³²¼­,203,19.7,1009.4,-
2024-06-01 4:12,280,20.2,32.2,-,-,-,-,1.9,³²³²¼­,202,19.6,1009.4,-
2024-06-01 4:13,279,20.2,32.2,-,-,-,-,2.1,³²³²¼­,201,19.6,1009.4,-
2024-06-01 4:14,279,20.2,32.2,-,-,-,-,2.6,¼­³²¼­,248,19.5,1009.4,-
2024-06-01 4:15,278,20.2,32.2,-,-,-,-,2,¼­,272,19.6,1009.4,-
2024-06-01 4:16,277,20.3,32.2,-,-,-,-,2,¼­,261,19.6,1009.5,-
2024-06-01 4:17,277,20.2,32.2,-,-,-,-,2.2,¼­³²¼­,257,19.6,1009.6,-
2024-06-01 4:18,276,20.2,32.2,-,-,-,-,2.3,¼­,275,19.6,1009.6,-
2024-06-01 4:19,276,20.2,32.2,-,-,-,-,2.2,¼­,269,19.6,1009.6,-
