관측소명:인천,,,,,,,,,,,,,
위도:37.451944,,,,,,,,,,,,,
경도:126.592222,,,,,,,,,,,,,
관측시간,조위(cm),수온(℃),염분(PSU),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),풍향(16points),풍향(deg),기온(℃),기압(hPa),시정(m)
2024-06-01 1:21,553,18.6,29.2,-,-,-,-,2.8,남서,217,16.8,1009.6,-
2024-06-01 1:22,552,18.6,29.2,-,-,-,-,3,남남서,212,16.8,1009.5,-
2024-06-01 1:23,550,18.6,29.2,-,-,-,-,2.9,남남서,209,16.8,1009.5,-
2024-06-01 1:24,548,18.6,29.2,-,-,-,-,2.2,남남서,213,16.8,1009.5,-
2024-06-01 1:25,546,18.6,29.2,-,-,-,-,2.5,남서,215,16.8,1009.5,-
2024-06-01 1:26,545,18.6,29.2,-,-,-,-,2.3,남서,214,16.8,1009.5,-
2024-06-01 1:27,543,18.6,29.2,-,-,-,-,2.4,남서,217,16.8,1009.5,-
2024-06-01 1:28,541,18.6,29.2,-,-,-,-,2.4,남서,216,16.8,1009.5,-
2024-06-01 1:29,540,18.6,29.2,-,-,-,-,2.6,남서,223,16.8,1009.5,-
2024-06-01 1:30,538,18.7,29.2,-,-,-,-,2.4,남서,217,16.8,1009.5,-
2024-06-01 1:31,537,18.7,29.1,-,-,-,-,1.7,남남서,209,16.8,1009.5,-
2024-06-01 1:32,535,18.7,29.2,-,-,-,-,1.9,남남서,211,16.8,1009.6,-
2024-06-01 1:33,533,18.7,29.1,-,-,-,-,1.9,남서,219,16.8,1009.6,-
2024-06-01 1:34,531,18.7,29.2,-,-,-,-,2,남서,224,16.8,1009.6,-
2024-06-01 1:35,530,18.7,29.1,-,-,-,-,1.9,남서,217,16.7,1009.6,-
2024-06-01 1:36,528,18.7,29.1,-,-,-,-,2.1,남서,230,16.7,1009.6,-
2024-06-01 1:37,526,18.7,29.1,-,-,-,-,2,남서,235,16.8,1009.6,-
2024-06-01 1:38,525,18.7,29.1,-,-,-,-,2.3,서남서,243,16.7,1009.6,-
2024-06-01 1:39,523,18.7,29.2,-,-,-,-,2.1,서남서,240,16.8,1009.6,-
2024-06-01 1:40,521,18.6,29.2,-,-,-,-,2.1,서남서,242,16.8,1009.6,-
2024-06-01 1:41,519,18.6,29.2,-,-,-,-,2.2,서남서,237,16.8,1009.6,-
2024-06-01 1:42,518,18.6,29.2,-,-,-,-,2.1,서남서,240,16.8,1009.6,-
2024-06-01 1:43,516,18.6,29.2,-,-,-,-,2.1,서남서,241,16.8,1009.6,-
2024-06-01 1:44,515,18.6,29.2,-,-,-,-,2.3,서남서,239,16.8,1009.6,-
2024-06-01 1:45,513,18.6,29.2,-,-,-,-,2.3,남서,228,16.8,1009.6,-
2024-06-01 1:46,511,18.7,29.1,-,-,-,-,2.4,남서,228,16.8,1009.6,-
2024-06-01 1:47,509,18.7,29.1,-,-,-,-,2.5,남서,233,16.8,1009.6,-
2024-06-01 1:48,507,18.7,29.1,-,-,-,-,2.3,서남서,242,16.8,1009.6,-
2024-06-01 1:49,506,18.7,29.2,-,-,-,-,2.4,서남서,247,16.9,1009.6,-
2024-06-01 1:50,504,18.7,29.2,-,-,-,-,2.5,서남서,246,16.9,1009.6,-
2024-06-01 1:51,502,18.7,29.1,-,-,-,-,2.5,서남서,254,16.9,1009.6,-
2024-06-01 1:52,500,18.7,29.1,-,-,-,-,2.3,서남서,239,16.9,1009.6,-
2024-06-01 1:53,498,18.7,29.1,-,-,-,-,2.3,남서,236,16.9,1009.6,-
2024-06-01 1:54,496,18.7,29.1,-,-,-,-,2.5,서남서,242,16.9,1009.6,-
2024-06-01 1:55,494,18.7,29.1,-,-,-,-,2.1,서남서,244,16.9,1009.6,-
2024-06-01 1:56,492,18.7,29.1,-,-,-,-,2.2,서남서,245,16.9,1009.6,-
2024-06-01 1:57,490,18.7,29.1,-,-,-,-,2.6,남서,232,16.9,1009.6,-
2024-06-01 1:58,489,18.7,29.1,-,-,-,-,2.6,남서,234,16.9,1009.6,-
2024-06-01 1:59,487,18.8,29.1,-,-,-,-,2.9,남서,234,16.9,1009.6,-
2024-06-01 2:00,485,18.8,29.1,-,-,-,-,3,남서,234,16.9,1009.6,-
2024-06-01 2:01,483,18.8,29.1,-,-,-,-,2.9,서남서,237,16.9,1009.6,-
2024-06-01 2:02,481,18.8,29.1,-,-,-,-,2.5,남서,230,16.9,1009.6,-
2024-06-01 2:03,479,18.8,29.1,-,-,-,-,3,남서,221,16.9,1009.6,-
2024-06-01 2:04,477,18.8,29.1,-,-,-,-,2.8,남서,221,16.9,1009.6,-
2024-06-01 2:05,475,18.8,29.1,-,-,-,-,2.7,남서,225,16.9,1009.6,-
2024-06-01 2:06,473,18.8,29.1,-,-,-,-,2.4,남서,217,16.9,1009.6,-
2024-06-01 2:07,471,18.7,29.1,-,-,-,-,2.3,남서,215,16.9,1009.6,-
2024-06-01 2:08,469,18.7,29.1,-,-,-,-,2,남서,226,16.9,1009.6,-
2024-06-01 2:09,468,18.7,29.1,-,-,-,-,1.8,남서,236,16.9,1009.6,-
2024-06-01 2:10,466,18.6,29.2,-,-,-,-,2.5,남서,230,16.9,1009.6,-
2024-06-01 2:11,464,18.6,29.2,-,-,-,-,2.5,남서,225,16.9,1009.6,-
2024-06-01 2:12,462,18.6,29.2,-,-,-,-,2.3,남서,226,16.9,1009.6,-
2024-06-01 2:13,460,18.6,29.2,-,-,-,-,2.3,남서,230,16.9,1009.6,-
2024-06-01 2:14,458,18.6,29.2,-,-,-,-,2.2,남서,231,16.9,1009.6,-
2024-06-01 2:15,456,18.6,29.2,-,-,-,-,2.2,남서,226,16.9,1009.6,-
2024-06-01 2:16,456,18.6,29.2,-,-,-,-,2.5,남서,225,16.9,1009.6,-
2024-06-01 2:17,453,18.6,29.2,-,-,-,-,2.4,남서,227,16.9,1009.6,-
2024-06-01 2:18,450,18.6,29.1,-,-,-,-,2.1,남서,221,16.9,1009.6,-
2024-06-01 2:19,448,18.6,29.2,-,-,-,-,2.2,남서,232,16.9,1009.6,-
2024-06-01 2:20,446,18.7,29.1,-,-,-,-,2,남서,231,16.9,1009.6,-
2024-06-01 2:21,444,18.6,29.1,-,-,-,-,2.1,남서,230,16.9,1009.6,-
2024-06-01 2:22,442,18.6,29.1,-,-,-,-,2.4,남서,224,16.9,1009.6,-
2024-06-01 2:23,440,18.6,29.1,-,-,-,-,2.3,남서,223,16.9,1009.6,-
2024-06-01 2:24,438,18.6,29.2,-,-,-,-,2,남서,230,16.9,1009.6,-
2024-06-01 2:25,437,18.6,29.2,-,-,-,-,1.8,남서,231,16.9,1009.6,-
2024-06-01 2:26,434,18.6,29.2,-,-,-,-,2.2,남서,223,16.9,1009.6,-
2024-06-01 2:27,433,18.6,29.2,-,-,-,-,2.4,남서,221,16.9,1009.6,-
2024-06-01 2:28,431,18.6,29.1,-,-,-,-,2.6,남서,227,16.9,1009.6,-
2024-06-01 2:29,429,18.6,29.1,-,-,-,-,2.6,남서,222,16.9,1009.6,-
2024-06-01 2:30,427,18.6,29.1,-,-,-,-,2.5,남서,221,16.9,1009.6,-
2024-06-01 2:31,425,18.6,29.1,-,-,-,-,2.1,남서,218,16.9,1009.6,-
2024-06-01 2:32,423,18.6,29.1,-,-,-,-,2.5,남서,217,16.9,1009.6,-
2024-06-01 2:33,421,18.6,29.1,-,-,-,-,2.4,남남서,212,16.9,1009.6,-
2024-06-01 2:34,419,18.6,29.1,-,-,-,-,2.4,남서,218,16.9,1009.6,-
2024-06-01 2:35,417,18.5,29.1,-,-,-,-,2.4,남서,222,16.9,1009.6,-
2024-06-01 2:36,415,18.6,29.1,-,-,-,-,2.6,남서,218,16.9,1009.6,-
2024-06-01 2:37,414,18.5,29.1,-,-,-,-,2.5,남서,219,16.9,1009.6,-
2024-06-01 2:38,412,18.6,29.1,-,-,-,-,2.7,남서,219,16.9,1009.6,-
2024-06-01 2:39,410,18.6,29.1,-,-,-,-,2.4,남남서,213,16.9,1009.6,-
2024-06-01 2:40,408,18.6,29.1,-,-,-,-,2.7,남서,218,16.9,1009.6,-
2024-06-01 2:41,406,18.6,29.1,-,-,-,-,2.4,남서,223,16.9,1009.6,-
2024-06-01 2:42,404,18.6,29.1,-,-,-,-,2.8,남서,221,16.9,1009.6,-
2024-06-01 2:43,402,18.6,29.1,-,-,-,-,3,남서,224,16.9,1009.6,-
2024-06-01 2:44,400,18.6,29.1,-,-,-,-,2.7,남서,221,16.8,1009.6,-
2024-06-01 2:45,399,18.6,29.1,-,-,-,-,2.1,남서,222,16.8,1009.6,-
2024-06-01 2:46,396,18.6,29.1,-,-,-,-,1.8,남서,225,16.8,1009.6,-
2024-06-01 2:47,395,18.6,29.1,-,-,-,-,2.7,남서,215,16.8,1009.6,-
2024-06-01 2:48,393,18.6,29.1,-,-,-,-,2.9,남서,217,16.8,1009.6,-
2024-06-01 2:49,391,18.6,29.1,-,-,-,-,2.7,남서,218,16.8,1009.6,-
2024-06-01 2:50,389,18.6,29.1,-,-,-,-,2.8,남서,220,16.8,1009.6,-
2024-06-01 2:51,387,18.6,29.1,-,-,-,-,2.9,남서,219,16.8,1009.6,-
2024-06-01 2:52,385,18.6,29.1,-,-,-,-,2.9,남서,221,16.8,1009.6,-
2024-06-01 2:53,383,18.6,29.1,-,-,-,-,2.2,남서,217,16.8,1009.6,-
2024-06-01 2:54,381,18.5,29.1,-,-,-,-,2.5,남서,221,16.8,1009.6,-
2024-06-01 2:55,379,18.5,29.1,-,-,-,-,2.8,남서,224,16.8,1009.6,-
2024-06-01 2:56,377,18.5,29.1,-,-,-,-,2.3,남서,214,16.8,1009.6,-
2024-06-01 2:57,375,18.6,29.1,-,-,-,-,2.3,남서,220,16.8,1009.6,-
2024-06-01 2:58,374,18.5,29.1,-,-,-,-,2.3,남서,223,16.8,1009.6,-
2024-06-01 2:59,372,18.6,29.1,-,-,-,-,2.3,남서,221,16.8,1009.6,-
2024-06-01 3:00,370,18.6,29.1,-,-,-,-,2.9,남서,227,16.8,1009.6,-
2024-06-01 3:01,368,18.6,29.1,-,-,-,-,3,남서,221,16.8,1009.6,-
2024-06-01 3:02,366,18.6,29.1,-,-,-,-,3.1,남서,220,16.8,1009.6,-
2024-06-01 3:03,364,18.6,29.1,-,-,-,-,2.5,남서,215,16.8,1009.6,-
2024-06-01 3:04,363,18.6,29.1,-,-,-,-,2.9,남서,222,16.8,1009.6,-
2024-06-01 3:05,361,18.6,29.1,-,-,-,-,2.5,남서,222,16.8,1009.6,-
2024-06-01 3:06,359,18.6,29.1,-,-,-,-,2.5,남서,216,16.8,1009.6,-
2024-06-01 3:07,357,18.6,29.1,-,-,-,-,2.7,남서,215,16.8,1009.6,-
2024-06-01 3:08,356,18.6,29.1,-,-,-,-,2.3,남서,214,16.8,1009.6,-
2024-06-01 3:09,354,18.6,29.1,-,-,-,-,1.9,남남서,209,16.8,1009.6,-
2024-06-01 3:10,352,18.6,29.1,-,-,-,-,2,남남서,207,16.8,1009.6,-
2024-06-01 3:11,351,18.6,29.1,-,-,-,-,2.4,남서,216,16.8,1009.6,-
2024-06-01 3:12,349,18.6,29.1,-,-,-,-,1.8,남서,220,16.8,1009.6,-
2024-06-01 3:13,347,18.6,29.1,-,-,-,-,2.7,남서,223,16.8,1009.6,-
2024-06-01 3:14,345,18.6,29.1,-,-,-,-,2.8,남서,226,16.8,1009.6,-
2024-06-01 3:15,344,18.6,29.1,-,-,-,-,2.9,남서,224,16.8,1009.6,-
2024-06-01 3:16,342,18.6,29.1,-,-,-,-,2.7,남서,225,16.8,1009.6,-
2024-06-01 3:17,340,18.6,29.1,-,-,-,-,3,남서,221,16.9,1009.6,-
2024-06-01 3:18,339,18.6,29.1,-,-,-,-,2.9,남서,226,16.9,1009.6,-
2024-06-01 3:19,337,18.6,29.1,-,-,-,-,2.9,남서,222,16.8,1009.6,-
2024-06-01 3:20,335,18.6,29.1,-,-,-,-,3,남서,224,16.9,1009.6,-
2024-06-01 3:21,334,18.6,29.1,-,-,-,-,3,남서,224,16.8,1009.6,-
2024-06-01 3:22,332,18.6,29.1,-,-,-,-,3.1,남서,214,16.8,1009.6,-
2024-06-01 3:23,330,18.6,29.1,-,-,-,-,3.3,남서,220,16.8,1009.6,-
2024-06-01 3:24,329,18.6,29.1,-,-,-,-,3,남서,224,16.8,1009.7,-
2024-06-01 3:25,327,18.6,29.1,-,-,-,-,2.4,남서,223,16.8,1009.7,-
2024-06-01 3:26,326,18.6,29.1,-,-,-,-,3.2,남서,231,16.8,1009.7,-
2024-06-01 3:27,324,18.6,29.1,-,-,-,-,3,남서,220,16.8,1009.7,-
2024-06-01 3:28,322,18.6,29.1,-,-,-,-,2.8,남서,217,16.8,1009.6,-
2024-06-01 3:29,320,18.6,29.1,-,-,-,-,2.9,남서,218,16.8,1009.6,-
2024-06-01 3:30,319,18.6,29.1,-,-,-,-,2.6,남서,218,16.8,1009.6,-
2024-06-01 3:31,317,18.6,29.1,-,-,-,-,2.5,남서,214,16.8,1009.6,-
2024-06-01 3:32,316,18.6,29,-,-,-,-,2.4,남서,218,16.8,1009.6,-
2024-06-01 3:33,314,18.6,29,-,-,-,-,2.1,남서,214,16.8,1009.6,-
2024-06-01 3:34,312,18.6,29.1,-,-,-,-,2.2,남서,217,16.8,1009.6,-
2024-06-01 3:35,311,18.6,29,-,-,-,-,2.5,남남서,209,16.8,1009.6,-
2024-06-01 3:36,309,18.6,29,-,-,-,-,2.4,남서,216,16.8,1009.6,-
2024-06-01 3:37,308,18.6,29,-,-,-,-,2.2,남남서,194,16.8,1009.6,-
2024-06-01 3:38,306,18.6,29,-,-,-,-,2.4,남서,216,16.8,1009.7,-
2024-06-01 3:39,304,18.6,29,-,-,-,-,2.6,남서,218,16.8,1009.7,-
2024-06-01 3:40,303,18.7,29,-,-,-,-,2.3,남남서,209,16.8,1009.7,-
2024-06-01 3:41,301,18.7,29,-,-,-,-,2.2,남남서,209,16.8,1009.7,-
2024-06-01 3:42,300,18.7,29,-,-,-,-,1.7,남남서,210,16.8,1009.7,-
2024-06-01 3:43,298,18.6,29,-,-,-,-,2,남서,214,16.8,1009.8,-
2024-06-01 3:44,297,18.7,29,-,-,-,-,2.4,남남서,208,16.8,1009.8,-
2024-06-01 3:45,295,18.6,29,-,-,-,-,2.2,남서,221,16.8,1009.8,-
2024-06-01 3:46,294,18.6,29,-,-,-,-,2.2,남서,218,16.8,1009.8,-
2024-06-01 3:47,293,18.6,29,-,-,-,-,1.9,남서,214,16.8,1009.8,-
2024-06-01 3:48,292,18.7,29,-,-,-,-,2.1,남서,215,16.8,1009.8,-
2024-06-01 3:49,290,18.7,29,-,-,-,-,1.8,남남서,208,16.8,1009.7,-
2024-06-01 3:50,289,18.7,29,-,-,-,-,2,남남서,207,16.8,1009.8,-
2024-06-01 3:51,287,18.7,29,-,-,-,-,1.9,남남서,213,16.8,1009.8,-
2024-06-01 3:52,286,18.7,29,-,-,-,-,1.4,남남서,208,16.8,1009.8,-
2024-06-01 3:53,285,18.7,29,-,-,-,-,1.4,남서,228,16.8,1009.8,-
2024-06-01 3:54,283,18.6,29,-,-,-,-,1.4,남서,221,16.8,1009.8,-
2024-06-01 3:55,282,18.7,29,-,-,-,-,1.9,남서,217,16.8,1009.8,-
2024-06-01 3:56,281,18.7,29,-,-,-,-,2,남서,217,16.8,1009.8,-
2024-06-01 3:57,279,18.7,29,-,-,-,-,1.9,남남서,213,16.8,1009.8,-
2024-06-01 3:58,278,18.7,29,-,-,-,-,2,남서,218,16.8,1009.8,-
2024-06-01 3:59,277,18.7,29,-,-,-,-,1.8,남서,214,16.8,1009.8,-
2024-06-01 4:00,275,18.7,29,-,-,-,-,2.3,남서,219,16.8,1009.9,-
2024-06-01 4:01,274,18.7,29,-,-,-,-,2.1,남서,219,16.8,1009.9,-
2024-06-01 4:02,273,18.7,29,-,-,-,-,2,남남서,211,16.8,1009.9,-
2024-06-01 4:03,272,18.6,29,-,-,-,-,1.7,남남서,207,16.8,1009.9,-
2024-06-01 4:04,271,18.6,29,-,-,-,-,1.6,남남서,212,16.9,1009.9,-
2024-06-01 4:05,269,18.6,29,-,-,-,-,1.5,남남서,206,16.9,1009.9,-
2024-06-01 4:06,268,18.7,29,-,-,-,-,2.2,남남서,199,16.9,1009.9,-
2024-06-01 4:07,267,18.7,29,-,-,-,-,1.8,남남서,201,16.9,1009.9,-
2024-06-01 4:08,265,18.7,29,-,-,-,-,2.1,남남서,198,16.9,1009.9,-
2024-06-01 4:09,264,18.6,29,-,-,-,-,1.9,남서,217,16.9,1009.9,-
2024-06-01 4:10,263,18.7,29,-,-,-,-,1.5,남남서,212,16.9,1009.9,-
2024-06-01 4:11,262,18.7,29,-,-,-,-,1.6,남서,214,16.9,1009.9,-
2024-06-01 4:12,261,18.7,29,-,-,-,-,1.8,남서,226,16.9,1009.9,-
2024-06-01 4:13,260,18.7,29,-,-,-,-,1.8,남서,225,16.9,1009.9,-
2024-06-01 4:14,258,18.7,29,-,-,-,-,1.9,남서,223,16.9,1009.9,-
2024-06-01 4:15,257,18.7,29,-,-,-,-,1.9,남서,221,16.9,1009.9,-
2024-06-01 4:16,256,18.6,29,-,-,-,-,2.2,남서,221,16.9,1010,-
2024-06-01 4:17,255,18.6,29,-,-,-,-,2.1,남서,218,17,1010,-
2024-06-01 4:18,254,18.6,29,-,-,-,-,2.1,남남서,212,17,1010,-
2024-06-01 4:19,253,18.6,29,-,-,-,-,2.1,남서,214,16.9,1010,-
2024-06-01 4:20,252,18.7,29,-,-,-,-,2.4,남남서,210,17,1010,-
2024-06-01 4:21,250,18.7,28.9,-,-,-,-,2,남남서,209,16.9,1010,-
2024-06-01 4:22,249,18.7,29,-,-,-,-,1.4,남남서,208,17,1010,-
2024-06-01 4:23,248,18.7,29,-,-,-,-,2.1,남남서,208,16.9,1010,-
2024-06-01 4:24,247,18.7,29,-,-,-,-,1.5,남남서,199,16.9,1010,-
2024-06-01 4:25,246,18.7,28.9,-,-,-,-,1.5,남남서,195,17,1010,-
2024-06-01 4:26,245,18.7,29,-,-,-,-,1.7,남남서,208,17,1010,-
2024-06-01 4:27,244,18.7,29,-,-,-,-,1.9,남남서,193,16.9,1010,-
2024-06-01 4:28,243,18.7,29,-,-,-,-,1.9,남남서,204,17,1010,-
2024-06-01 4:29,242,18.7,29,-,-,-,-,1.7,남서,222,17,1010,-
2024-06-01 4:30,241,18.7,29,-,-,-,-,1.2,남서,218,17,1010,-
2024-06-01 4:31,240,18.7,29,-,-,-,-,0.9,남남서,200,17,1010,-
2024-06-01 4:32,238,18.7,29,-,-,-,-,1.5,남남서,196,16.9,1010,-
2024-06-01 4:33,238,18.7,29,-,-,-,-,1.3,남남서,212,17,1010,-
2024-06-01 4:34,236,18.7,29,-,-,-,-,1.5,남서,228,17,1010,-
2024-06-01 4:35,235,18.7,29,-,-,-,-,1.6,남서,223,17,1010,-
2024-06-01 4:36,234,18.7,29,-,-,-,-,1.5,남서,215,17,1010,-
2024-06-01 4:37,233,18.7,29,-,-,-,-,1.5,남서,215,17,1010,-
2024-06-01 4:38,232,18.7,29,-,-,-,-,1.2,남서,228,17,1010,-
2024-06-01 4:39,231,18.7,29,-,-,-,-,1.2,남서,220,17.1,1010,-
2024-06-01 4:40,230,18.7,29,-,-,-,-,1.1,남남서,208,17.1,1010,-
2024-06-01 4:41,229,18.7,29,-,-,-,-,1,남서,215,17.1,1010,-
2024-06-01 4:42,228,18.7,29,-,-,-,-,1.2,남남서,205,17.1,1010,-
2024-06-01 4:43,227,18.7,29,-,-,-,-,1,남서,214,17.1,1010,-
