包螟家疙:饶器,,,,,,,,,,,,,
困档:36.6775,,,,,,,,,,,,,
版档:129.453056,,,,,,,,,,,,,
包螟矫埃,炼困(cm),荐柯(∩),堪盒(PSU),蜡狼颇绊(m),蜡狼颇林扁(sec),弥措颇绊(m),弥措颇林扁(sec),浅加(m/s),浅氢(16points),浅氢(deg),扁柯(∩),扁拘(hPa),矫沥(m)
2024-06-01 1:47,19,17.3,33.8,-,-,-,-,1.9,合,1,18.4,1007.8,-
2024-06-01 1:48,19,17.3,33.8,-,-,-,-,1.6,合合辑,333,18.3,1007.8,-
2024-06-01 1:49,18,17.3,33.8,-,-,-,-,1.1,合辑,313,18.2,1007.8,-
2024-06-01 1:50,17,17.3,33.8,-,-,-,-,1.3,合合辑,341,18.1,1007.8,-
2024-06-01 1:51,17,17.3,33.8,-,-,-,-,1.8,合,353,18.1,1007.8,-
2024-06-01 1:52,16,17.3,33.8,-,-,-,-,2,合合辑,344,18.1,1007.8,-
2024-06-01 1:53,16,17.3,33.8,-,-,-,-,1.4,合合辑,328,18,1007.9,-
2024-06-01 1:54,17,17.3,33.8,-,-,-,-,1.4,合合辑,330,17.9,1007.8,-
2024-06-01 1:55,18,17.3,33.8,-,-,-,-,1.1,合合辑,338,17.9,1007.8,-
2024-06-01 1:56,19,17.3,33.8,-,-,-,-,1.2,合辑,323,17.9,1007.8,-
2024-06-01 1:57,19,17.3,33.8,-,-,-,-,1,辑合辑,290,17.9,1007.8,-
2024-06-01 1:58,20,17.3,33.8,-,-,-,-,0.9,辑巢辑,249,18.1,1007.8,-
2024-06-01 1:59,20,17.3,33.8,-,-,-,-,0.4,辑,273,18.1,1007.8,-
2024-06-01 2:00,20,17.3,33.8,-,-,-,-,0.9,辑合辑,293,18.1,1007.8,-
2024-06-01 2:01,20,17.3,33.8,-,-,-,-,1,辑,281,18.1,1007.8,-
2024-06-01 2:02,19,17.3,33.8,-,-,-,-,1.2,辑,274,18.1,1007.8,-
2024-06-01 2:03,17,17.3,33.8,-,-,-,-,0.8,辑,275,18.1,1007.8,-
2024-06-01 2:04,16,17.3,33.8,-,-,-,-,0.8,辑,266,18,1007.8,-
2024-06-01 2:05,16,17.3,33.8,-,-,-,-,1.4,辑,268,18,1007.8,-
2024-06-01 2:06,15,17.3,33.8,-,-,-,-,1.5,辑合辑,282,17.8,1007.9,-
2024-06-01 2:07,15,17.2,33.8,-,-,-,-,1.2,辑合辑,289,17.6,1007.9,-
2024-06-01 2:08,14,17.2,33.8,-,-,-,-,0.8,辑合辑,296,17.5,1007.9,-
2024-06-01 2:09,14,17.3,33.8,-,-,-,-,0.2,辑合辑,288,17.5,1007.9,-
2024-06-01 2:10,14,17.3,33.8,-,-,-,-,0.2,合合辑,332,17.6,1007.9,-
2024-06-01 2:11,15,17.3,33.8,-,-,-,-,0,合,0,17.6,1007.9,-
2024-06-01 2:12,15,17.3,33.8,-,-,-,-,1.9,辑巢辑,252,17.7,1007.9,-
2024-06-01 2:13,15,17.3,33.8,-,-,-,-,1.9,辑,266,17.6,1007.9,-
2024-06-01 2:14,15,17.3,33.8,-,-,-,-,2.1,辑,269,17.6,1007.9,-
2024-06-01 2:15,14,17.3,33.8,-,-,-,-,1.8,辑,266,17.6,1007.9,-
2024-06-01 2:16,13,17.3,33.8,-,-,-,-,1.9,辑,275,17.4,1007.9,-
2024-06-01 2:17,12,17.3,33.8,-,-,-,-,1.8,辑,274,17.3,1007.8,-
2024-06-01 2:18,12,17.3,33.8,-,-,-,-,1.7,辑合辑,285,17.3,1007.8,-
2024-06-01 2:19,13,17.3,33.8,-,-,-,-,1,合,350,17.6,1007.8,-
2024-06-01 2:20,15,17.3,33.8,-,-,-,-,0.6,合合悼,23,17.8,1007.8,-
2024-06-01 2:21,18,17.3,33.8,-,-,-,-,0.5,合合悼,31,17.8,1007.7,-
2024-06-01 2:22,19,17.3,33.8,-,-,-,-,0.6,合悼,37,17.9,1007.7,-
2024-06-01 2:23,19,17.3,33.8,-,-,-,-,0.3,合合悼,33,17.8,1007.7,-
2024-06-01 2:24,19,17.3,33.8,-,-,-,-,0.7,合合悼,23,17.8,1007.7,-
2024-06-01 2:25,17,17.3,33.8,-,-,-,-,1.3,合,2,17.8,1007.7,-
2024-06-01 2:26,16,17.3,33.8,-,-,-,-,0.8,合,2,17.7,1007.7,-
2024-06-01 2:27,16,17.3,33.8,-,-,-,-,0.6,合合悼,16,17.7,1007.7,-
2024-06-01 2:28,16,17.3,33.8,-,-,-,-,0.4,合合悼,24,17.8,1007.7,-
2024-06-01 2:29,17,17.3,33.8,-,-,-,-,0.3,合辑,313,18,1007.8,-
2024-06-01 2:30,17,17.3,33.8,-,-,-,-,0.6,巢巢辑,197,18,1007.8,-
2024-06-01 2:31,17,17.3,33.8,-,-,-,-,0.6,巢巢悼,152,18.1,1007.8,-
2024-06-01 2:32,16,17.3,33.8,-,-,-,-,0.2,巢巢辑,211,18.1,1007.8,-
2024-06-01 2:33,15,17.3,33.8,-,-,-,-,0.5,巢辑,225,18,1007.8,-
2024-06-01 2:34,14,17.3,33.8,-,-,-,-,0.7,巢辑,216,18,1007.8,-
2024-06-01 2:35,13,17.3,33.8,-,-,-,-,1.3,辑巢辑,239,17.9,1007.8,-
2024-06-01 2:36,14,17.3,33.8,-,-,-,-,0.9,辑巢辑,237,17.7,1007.8,-
2024-06-01 2:37,15,17.3,33.8,-,-,-,-,0.5,辑巢辑,238,17.6,1007.7,-
2024-06-01 2:38,17,17.3,33.8,-,-,-,-,1.5,辑巢辑,254,17.5,1007.7,-
2024-06-01 2:39,18,17.3,33.8,-,-,-,-,1.4,辑,268,17.4,1007.7,-
2024-06-01 2:40,19,17.2,33.8,-,-,-,-,1.4,辑,271,17.4,1007.7,-
2024-06-01 2:41,19,17.2,33.8,-,-,-,-,1.3,辑,273,17.4,1007.7,-
2024-06-01 2:42,19,17.3,33.8,-,-,-,-,1.1,辑,267,17.4,1007.8,-
2024-06-01 2:43,17,17.3,33.8,-,-,-,-,1.2,辑,271,17.5,1007.8,-
2024-06-01 2:44,15,17.3,33.8,-,-,-,-,1,辑,281,17.5,1007.8,-
2024-06-01 2:45,14,17.3,33.8,-,-,-,-,0.7,合合辑,328,17.4,1007.8,-
2024-06-01 2:46,13,17.3,33.8,-,-,-,-,0.5,合合辑,342,17.4,1007.8,-
2024-06-01 2:47,13,17.3,33.8,-,-,-,-,0.2,合,353,17.5,1007.8,-
2024-06-01 2:48,13,17.3,33.8,-,-,-,-,0,合,0,17.6,1007.8,-
2024-06-01 2:49,13,17.3,33.8,-,-,-,-,0,合,0,17.6,1007.8,-
2024-06-01 2:50,14,17.3,33.8,-,-,-,-,0.1,辑,273,17.7,1007.7,-
2024-06-01 2:51,14,17.3,33.8,-,-,-,-,0,巢辑,236,17.7,1007.7,-
2024-06-01 2:52,13,17.3,33.8,-,-,-,-,0.1,辑合辑,293,17.8,1007.7,-
2024-06-01 2:53,13,17.3,33.8,-,-,-,-,0.3,辑合辑,282,17.8,1007.8,-
2024-06-01 2:54,12,17.3,33.8,-,-,-,-,0.2,合合辑,328,17.8,1007.8,-
2024-06-01 2:55,13,17.3,33.8,-,-,-,-,0.8,合,357,17.8,1007.8,-
2024-06-01 2:56,14,17.3,33.8,-,-,-,-,0.9,合,4,17.8,1007.8,-
2024-06-01 2:57,16,17.3,33.8,-,-,-,-,0.7,合合辑,348,17.8,1007.9,-
2024-06-01 2:58,18,17.3,33.8,-,-,-,-,0.8,辑合辑,298,17.9,1007.9,-
2024-06-01 2:59,19,17.3,33.8,-,-,-,-,0.6,辑合辑,291,18,1007.9,-
2024-06-01 3:00,18,17.3,33.8,-,-,-,-,0.9,合辑,311,18,1007.9,-
2024-06-01 3:01,17,17.3,33.8,-,-,-,-,0.6,辑合辑,299,18.3,1007.9,-
2024-06-01 3:02,15,17.3,33.8,-,-,-,-,0.8,辑,268,18.5,1007.9,-
2024-06-01 3:03,13,17.3,33.8,-,-,-,-,1,辑,280,18.5,1007.9,-
2024-06-01 3:04,12,17.3,33.8,-,-,-,-,0.9,辑合辑,288,18.3,1008,-
2024-06-01 3:05,12,17.3,33.8,-,-,-,-,1,辑,278,18.2,1007.9,-
2024-06-01 3:06,13,17.3,33.8,-,-,-,-,1.2,辑合辑,284,18.1,1007.9,-
2024-06-01 3:07,13,17.3,33.8,-,-,-,-,0.7,辑合辑,302,17.9,1007.9,-
2024-06-01 3:08,14,17.3,33.8,-,-,-,-,0.7,合合辑,343,17.8,1007.9,-
2024-06-01 3:09,14,17.3,33.8,-,-,-,-,0.8,合,359,17.7,1007.9,-
2024-06-01 3:10,15,17.3,33.8,-,-,-,-,0.7,合,350,17.8,1007.8,-
2024-06-01 3:11,15,17.3,33.8,-,-,-,-,0.8,合合辑,333,17.9,1007.8,-
2024-06-01 3:12,15,17.3,33.8,-,-,-,-,0.5,合辑,314,18.1,1007.8,-
2024-06-01 3:13,15,17.3,33.8,-,-,-,-,0.5,辑,278,18.3,1007.8,-
2024-06-01 3:14,15,17.3,33.8,-,-,-,-,0.9,辑巢辑,257,18.4,1007.8,-
2024-06-01 3:15,14,17.3,33.8,-,-,-,-,1.1,辑巢辑,257,18.3,1007.8,-
2024-06-01 3:16,12,17.3,33.8,-,-,-,-,1.3,辑巢辑,257,18.2,1007.8,-
2024-06-01 3:17,11,17.3,33.8,-,-,-,-,2.3,辑,268,18,1007.9,-
2024-06-01 3:18,9,17.3,33.8,-,-,-,-,2.3,辑,280,17.6,1007.8,-
2024-06-01 3:19,9,17.3,33.8,-,-,-,-,1.7,辑,279,17.5,1007.8,-
2024-06-01 3:20,9,17.3,33.8,-,-,-,-,1.5,辑,280,18,1007.8,-
2024-06-01 3:21,11,17.3,33.8,-,-,-,-,1.3,辑,278,18.6,1007.8,-
2024-06-01 3:22,14,17.3,33.8,-,-,-,-,1.3,辑,281,18.8,1007.8,-
2024-06-01 3:23,16,17.3,33.8,-,-,-,-,1.3,辑合辑,284,18.6,1007.9,-
2024-06-01 3:24,18,17.3,33.8,-,-,-,-,1.3,辑,281,18.4,1007.9,-
2024-06-01 3:25,19,17.3,33.8,-,-,-,-,1.6,辑合辑,289,18.3,1007.9,-
2024-06-01 3:26,18,17.3,33.8,-,-,-,-,1.6,辑,273,18.5,1007.9,-
2024-06-01 3:27,16,17.3,33.8,-,-,-,-,1.4,辑,274,19.1,1007.9,-
2024-06-01 3:28,15,17.3,33.8,-,-,-,-,1.5,辑,276,19.1,1007.9,-
2024-06-01 3:29,13,17.4,33.7,-,-,-,-,1.3,辑,276,18.9,1007.9,-
2024-06-01 3:30,12,17.3,33.8,-,-,-,-,1.4,辑,272,18.8,1007.9,-
2024-06-01 3:31,11,17.3,33.8,-,-,-,-,1.6,辑,277,18.7,1007.9,-
2024-06-01 3:32,11,17.3,33.8,-,-,-,-,1.8,辑,272,18.4,1007.9,-
2024-06-01 3:33,12,17.3,33.8,-,-,-,-,2.2,辑,274,18.1,1007.9,-
2024-06-01 3:34,13,17.3,33.8,-,-,-,-,2.3,辑合辑,287,17.9,1007.9,-
2024-06-01 3:35,13,17.3,33.8,-,-,-,-,2.3,合辑,305,18.1,1007.9,-
2024-06-01 3:36,14,17.3,33.8,-,-,-,-,2.3,合辑,314,19,1007.9,-
2024-06-01 3:37,14,17.3,33.8,-,-,-,-,1.8,辑合辑,297,19.8,1007.9,-
2024-06-01 3:38,14,17.3,33.8,-,-,-,-,2.1,辑合辑,301,20.2,1008,-
2024-06-01 3:39,14,17.3,33.8,-,-,-,-,2.5,合辑,315,20.5,1008,-
2024-06-01 3:40,14,17.3,33.8,-,-,-,-,1.7,合辑,308,20.6,1008,-
2024-06-01 3:41,13,17.3,33.8,-,-,-,-,1.9,辑合辑,302,20.7,1008,-
2024-06-01 3:42,13,17.3,33.8,-,-,-,-,2.3,辑合辑,302,20.7,1008,-
2024-06-01 3:43,12,17.3,33.8,-,-,-,-,2.3,合辑,308,20.7,1008,-
2024-06-01 3:44,11,17.3,33.8,-,-,-,-,2.3,合辑,305,20.7,1008,-
2024-06-01 3:45,10,17.3,33.8,-,-,-,-,2.1,辑合辑,288,20.8,1008.1,-
2024-06-01 3:46,10,17.3,33.8,-,-,-,-,2,辑合辑,302,20.7,1008.1,-
2024-06-01 3:47,11,17.3,33.8,-,-,-,-,1.7,辑合辑,288,20.4,1008.1,-
2024-06-01 3:48,13,17.3,33.8,-,-,-,-,1.7,辑合辑,286,20,1008.1,-
2024-06-01 3:49,14,17.3,33.8,-,-,-,-,1.6,辑,267,19.7,1008.1,-
2024-06-01 3:50,15,17.3,33.8,-,-,-,-,1.4,辑,275,19.6,1008.1,-
2024-06-01 3:51,16,17.3,33.8,-,-,-,-,1.7,辑,270,19.5,1008.1,-
2024-06-01 3:52,14,17.3,33.8,-,-,-,-,1.6,辑,277,19.4,1008.1,-
2024-06-01 3:53,12,17.3,33.8,-,-,-,-,2,辑合辑,293,19.2,1008.1,-
2024-06-01 3:54,10,17.3,33.8,-,-,-,-,1.8,辑合辑,287,19.2,1008.1,-
2024-06-01 3:55,8,17.3,33.8,-,-,-,-,1.7,合辑,308,19,1008.1,-
2024-06-01 3:56,7,17.3,33.8,-,-,-,-,1.5,辑合辑,298,19.2,1008.1,-
2024-06-01 3:57,8,17.3,33.8,-,-,-,-,1.7,辑,264,19.4,1008.1,-
2024-06-01 3:58,10,17.3,33.8,-,-,-,-,1.7,辑,267,19,1008.1,-
2024-06-01 3:59,13,17.3,33.8,-,-,-,-,1.6,辑,276,18.6,1008,-
2024-06-01 4:00,14,17.3,33.7,-,-,-,-,1.3,辑合辑,283,18.3,1008,-
2024-06-01 4:01,15,17.3,33.8,-,-,-,-,1.1,辑合辑,297,18.2,1008,-
2024-06-01 4:02,15,17.3,33.8,-,-,-,-,1.6,辑合辑,284,18.3,1008,-
2024-06-01 4:03,14,17.3,33.8,-,-,-,-,1,辑合辑,285,18.4,1008,-
2024-06-01 4:04,14,17.3,33.8,-,-,-,-,1.4,辑合辑,287,18.6,1008,-
2024-06-01 4:05,13,17.3,33.8,-,-,-,-,1.5,辑,275,18.6,1008,-
2024-06-01 4:06,12,17.3,33.8,-,-,-,-,1.4,辑合辑,288,18.6,1008,-
2024-06-01 4:07,13,17.3,33.8,-,-,-,-,1.4,辑,278,18.6,1008.1,-
2024-06-01 4:08,13,17.3,33.8,-,-,-,-,1.3,辑,269,18.5,1008.1,-
2024-06-01 4:09,14,17.3,33.8,-,-,-,-,1.4,辑,272,18.2,1008.1,-
2024-06-01 4:10,15,17.2,33.8,-,-,-,-,1.8,辑,269,18,1008.1,-
2024-06-01 4:11,15,17.2,33.8,-,-,-,-,1.7,辑合辑,289,17.8,1008.1,-
2024-06-01 4:12,13,17.3,33.8,-,-,-,-,1.8,辑合辑,302,17.8,1008.1,-
2024-06-01 4:13,12,17.2,33.8,-,-,-,-,1.2,合辑,307,18.1,1008.1,-
2024-06-01 4:14,10,17.2,33.8,-,-,-,-,1.5,合辑,320,18.4,1008.1,-
2024-06-01 4:15,9,17.2,33.8,-,-,-,-,2.3,合辑,313,18.7,1008.1,-
2024-06-01 4:16,10,17.3,33.8,-,-,-,-,2.2,合辑,318,19.2,1008.1,-
2024-06-01 4:17,11,17.3,33.8,-,-,-,-,2.3,合辑,323,19.5,1008.1,-
2024-06-01 4:18,12,17.3,33.8,-,-,-,-,2.4,合辑,321,19.6,1008.1,-
2024-06-01 4:19,13,17.3,33.8,-,-,-,-,2.8,合辑,326,19.6,1008.2,-
2024-06-01 4:20,13,17.3,33.8,-,-,-,-,3,合合辑,327,19.7,1008.2,-
2024-06-01 4:21,12,17.3,33.8,-,-,-,-,2.6,合辑,319,19.7,1008.2,-
2024-06-01 4:22,11,17.3,33.8,-,-,-,-,2.5,合辑,317,19.7,1008.2,-
2024-06-01 4:23,9,17.2,33.8,-,-,-,-,2.5,合辑,315,19.6,1008.2,-
2024-06-01 4:24,9,17.2,33.8,-,-,-,-,2.4,合辑,314,19.6,1008.2,-
2024-06-01 4:25,9,17.2,33.8,-,-,-,-,2.7,合辑,322,19.7,1008.1,-
2024-06-01 4:26,10,17.2,33.8,-,-,-,-,2.1,合辑,319,19.6,1008.1,-
2024-06-01 4:27,12,17.2,33.8,-,-,-,-,2.4,合合辑,327,19.5,1008.1,-
2024-06-01 4:28,13,17.3,33.8,-,-,-,-,2.3,合辑,323,19.5,1008.2,-
2024-06-01 4:29,14,17.3,33.8,-,-,-,-,2.6,合辑,324,19.4,1008.2,-
2024-06-01 4:30,13,17.3,33.8,-,-,-,-,2.3,合辑,322,19.5,1008.2,-
2024-06-01 4:31,12,17.3,33.8,-,-,-,-,2.3,合辑,309,19.5,1008.2,-
2024-06-01 4:32,11,17.3,33.8,-,-,-,-,2.7,辑合辑,299,19.6,1008.2,-
