°üÃø¼Ò¸í:¿©¼öÇ×,,,,,,,,,,,,,,
À§µµ:34.794722,,,,,,,,,,,,,,
°æµµ:127.808055,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 8:00,28.8,³²,177,19.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:10,12.2,³²,182,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:20,24,³²,173,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:30,27.4,³²,177,19.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:40,25.3,³²,182,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:50,27.7,³²,179,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:00,23.9,³²,176,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:10,23.8,³²,175,19.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:20,26.5,³²,182,19.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:30,29.6,³²,181,19.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:40,22.4,³²,173,19.64,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:50,28.6,³²,180,19.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:00,27.3,³²,187,19.78,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:10,28.4,³²,181,19.86,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:20,27.1,³²,181,19.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:30,23.3,³²,178,19.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:40,22.8,³²,182,19.92,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:50,25.9,³²,180,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:00,26.6,³²,178,19.89,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:10,24.9,³²,177,19.99,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:20,28.7,³²,184,20.01,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:30,26,³²,179,20,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:40,26.5,³²,191,20.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:50,19.7,³²,181,20.09,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:00,21.8,³²,183,20.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:10,17.9,³²³²¼­,193,20.15,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:20,16.7,³²³²¼­,193,20.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:30,14.7,³²³²¼­,194,20.16,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:40,9.2,³²³²¼­,203,20.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:50,11,³²³²¼­,207,20.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:00,8.2,³²³²¼­,203,20.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:10,7.3,¼­³²¼­,254,19.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:20,5.2,ºÏ¼­,308,19.86,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:30,7.1,¼­ºÏ¼­,289,19.79,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:40,12.9,ºÏ¼­,306,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:50,14.6,ºÏ¼­,313,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:00,16.1,ºÏºÏ¼­,327,19.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:10,12.9,ºÏ¼­,322,19.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:20,10.9,ºÏ¼­,321,19.75,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:30,7.8,³²³²¼­,192,19.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:40,7.3,ºÏ¼­,307,19.98,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:50,9.8,ºÏºÏ¼­,342,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:00,18,ºÏ,353,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:10,9.4,ºÏ,350,19.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:20,14.8,ºÏºÏ¼­,333,19.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:30,17,ºÏ,357,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:40,10.6,ºÏºÏ¼­,334,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:50,14.2,ºÏ,5,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:00,20.9,ºÏºÏ¼­,336,19.83,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:10,15.9,ºÏºÏ¼­,331,19.85,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:20,15.5,ºÏ,354,19.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:30,14,ºÏ,356,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:40,15.8,ºÏ,357,19.61,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:50,12.9,ºÏºÏ¼­,340,19.75,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:00,8.9,ºÏºÏ¼­,334,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:10,5.5,ºÏºÏ¼­,337,19.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:20,3.8,³²³²µ¿,159,19.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:30,7.7,³²,177,20,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:40,14.5,³²³²¼­,211,20.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:50,12.4,³²³²µ¿,166,20.1,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:00,12.7,³²³²¼­,194,20.01,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:10,10.8,³²,179,19.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:20,14.8,³²³²µ¿,158,19.98,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:30,15.7,³²,171,19.93,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:40,18.9,³²,174,19.94,-,-,-,-,-,-,-,-,-,-
2024-06-01 18:50,18.8,¼­ºÏ¼­,287,19.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:00,18.3,³²,176,19.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:10,25.1,³²,171,20.01,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:20,27.1,³²,182,20.09,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:30,20.2,³²,176,20.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:40,26.6,³²,179,20.09,-,-,-,-,-,-,-,-,-,-
2024-06-01 19:50,18.6,³²,173,20.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:00,14.5,³²³²µ¿,160,20.02,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:10,12.6,³²³²¼­,194,19.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:20,31.5,³²,177,19.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:30,32.1,³²,180,19.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:40,34,³²,178,19.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 20:50,27.8,³²,179,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:00,28.9,³²,179,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:10,34.3,³²,178,19.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:20,33.7,³²,184,19.85,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:30,32.7,³²,183,19.82,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:40,29.2,³²,180,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 21:50,34.3,³²,186,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:00,35.6,³²,183,19.89,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:10,33.2,³²,187,19.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:20,35.3,³²,183,19.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:30,30.5,¼­ºÏ¼­,290,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:40,34.1,³²,183,19.94,-,-,-,-,-,-,-,-,-,-
2024-06-01 22:50,32.9,³²,183,19.94,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:00,31.2,³²,179,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:10,27.8,¼­ºÏ¼­,288,19.89,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:20,27.1,³²,180,19.86,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:30,22.2,¼­ºÏ¼­,296,19.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:40,18.7,³²,184,19.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 23:50,17.8,³²³²¼­,208,19.85,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:00,22.3,³²,187,19.9,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:10,18.9,³²³²¼­,199,19.89,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:20,17.5,ºÏ¼­,312,19.85,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:30,15.8,³²³²¼­,204,19.8,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:40,11.8,³²³²¼­,207,19.75,-,-,-,-,-,-,-,-,-,-
2024-06-02 0:50,14,³²³²¼­,197,19.74,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:00,4.8,¼­³²¼­,247,19.68,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:10,8.1,¼­³²¼­,249,19.64,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:20,9.3,¼­ºÏ¼­,290,19.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:30,11.4,ºÏ¼­,311,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:40,6.7,ºÏ¼­,326,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-02 1:50,11.2,ºÏºÏ¼­,337,19.55,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:00,13.6,ºÏºÏ¼­,342,19.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:10,12.6,ºÏºÏ¼­,345,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:20,14.7,ºÏºÏ¼­,344,19.44,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:30,17.4,ºÏºÏ¼­,348,19.43,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:40,19.7,ºÏºÏ¼­,347,19.41,-,-,-,-,-,-,-,-,-,-
2024-06-02 2:50,21.5,ºÏ,350,19.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:00,21.9,ºÏ,351,19.38,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:10,22.3,ºÏ,352,19.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:20,19,ºÏºÏ¼­,346,19.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:30,20.5,ºÏºÏ¼­,346,19.35,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:40,18.5,ºÏ,350,19.34,-,-,-,-,-,-,-,-,-,-
2024-06-02 3:50,15.6,ºÏ,353,19.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:00,18.6,ºÏ,349,19.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:10,17.5,ºÏ,349,19.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:20,19.7,ºÏºÏ¼­,343,19.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:30,16.2,ºÏºÏ¼­,341,19.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:40,17.8,ºÏºÏ¼­,346,19.3,-,-,-,-,-,-,-,-,-,-
2024-06-02 4:50,13.2,ºÏ,355,19.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:00,7.5,ºÏ,2,19.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:10,4.4,ºÏºÏµ¿,32,19.19,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:20,6,ºÏ,353,19.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:30,7,ºÏºÏµ¿,16,19.25,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:40,5.9,µ¿³²µ¿,115,19.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 5:50,1.7,³²³²¼­,203,19.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:00,3.4,µ¿,86,19.18,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:10,6.2,³²µ¿,140,19.2,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:20,3.9,³²µ¿,145,19.22,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:30,8.7,³²µ¿,146,19.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:40,12.7,³²³²µ¿,155,19.24,-,-,-,-,-,-,-,-,-,-
2024-06-02 6:50,12.4,³²³²µ¿,161,19.25,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:00,11.2,³²³²µ¿,157,19.26,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:10,5.7,³²,172,19.26,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:20,5.5,³²,173,19.27,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:30,8.4,³²,179,19.26,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:40,14.6,³²,172,19.28,-,-,-,-,-,-,-,-,-,-
2024-06-02 7:50,22.4,³²,169,19.3,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:00,21.6,³²,177,19.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:10,25,³²,170,19.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:20,26.5,³²,174,19.43,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:30,23.5,³²,176,19.48,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:40,19.2,³²,180,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 8:50,25.3,³²,179,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:00,18.9,³²,180,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:10,27,³²,181,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:20,16.2,³²³²¼­,196,19.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:30,24.7,³²,179,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:40,24.2,³²,190,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 9:50,25.9,³²,191,19.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:00,23.7,³²³²¼­,194,19.54,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:10,25.9,³²,187,19.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:20,20.3,³²,186,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:30,29.2,³²,181,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:40,22.8,³²,183,19.49,-,-,-,-,-,-,-,-,-,-
2024-06-02 10:50,28.1,³²,188,19.57,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:00,27.2,³²,189,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:10,32,³²,182,19.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:20,28.4,³²,186,19.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:30,23.9,³²,186,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:40,18.9,¼­ºÏ¼­,283,19.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 11:50,13.3,¼­ºÏ¼­,283,19.39,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:00,9,³²,190,19.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:10,9.9,³²¼­,231,19.43,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:20,6.4,¼­³²¼­,240,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:30,4.2,³²¼­,232,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:40,12.6,³²¼­,227,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 12:50,14.4,³²¼­,236,19.74,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:00,6.6,¼­,264,19.59,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:10,4.2,¼­³²¼­,249,19.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:20,7.6,¼­,279,19.61,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:30,4.7,ºÏ¼­,311,19.49,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:40,8.4,¼­ºÏ¼­,288,19.33,-,-,-,-,-,-,-,-,-,-
2024-06-02 13:50,4.5,ºÏºÏµ¿,33,19.23,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:00,12.1,¼­,281,19.29,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:10,17.8,ºÏ,357,19.36,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:20,14.1,ºÏ,353,19.57,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:30,16.1,ºÏ,358,19.4,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:40,12.7,ºÏ,6,19.37,-,-,-,-,-,-,-,-,-,-
2024-06-02 14:50,19.4,ºÏ,349,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:00,16,ºÏ,3,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:10,12,ºÏ,5,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:20,12.3,ºÏ,2,19.25,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:30,14.1,ºÏ,7,19.31,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:40,21.7,¼­ºÏ¼­,284,19.51,-,-,-,-,-,-,-,-,-,-
2024-06-02 15:50,15.1,¼­ºÏ¼­,286,19.53,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:00,16.2,ºÏ,5,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:10,16.7,ºÏ,358,19.79,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:20,17.8,¼­,277,20.01,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:30,14.1,¼­ºÏ¼­,282,20.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:40,12.7,¼­,280,19.81,-,-,-,-,-,-,-,-,-,-
2024-06-02 16:50,18.9,ºÏ,10,19.65,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:00,9.6,ºÏ,1,19.74,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:10,6.8,ºÏ,10,19.89,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:20,6.6,ºÏ,11,20.07,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:30,8.8,ºÏºÏµ¿,18,20.4,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:40,5.2,ºÏºÏµ¿,16,20.03,-,-,-,-,-,-,-,-,-,-
2024-06-02 17:50,14.7,ºÏµ¿,36,19.8,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:00,12.4,ºÏµ¿,55,20.12,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:10,1.5,ºÏµ¿,51,20.07,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:20,12.9,µ¿,95,20.13,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:30,8.9,µ¿³²µ¿,109,20.11,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:40,15.9,µ¿³²µ¿,110,20.08,-,-,-,-,-,-,-,-,-,-
2024-06-02 18:50,18.9,³²µ¿,137,20.06,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:00,20.2,³²³²µ¿,154,20.07,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:10,17.7,³²³²µ¿,160,19.98,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:20,21.5,³²³²µ¿,164,19.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:30,19.3,³²³²µ¿,167,19.99,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:40,19.7,³²³²µ¿,150,19.98,-,-,-,-,-,-,-,-,-,-
2024-06-02 19:50,24.7,³²³²µ¿,161,20.18,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:00,29.7,³²,171,20.34,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:10,21.9,³²,174,20.1,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:20,22,³²,177,20.11,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:30,19.9,³²,184,20.32,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:40,15.3,³²,189,20.18,-,-,-,-,-,-,-,-,-,-
2024-06-02 20:50,22,³²,183,20.02,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:00,20.3,³²³²¼­,192,20.09,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:10,15.4,³²³²¼­,207,19.97,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:20,16.8,³²³²¼­,199,19.86,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:30,17.4,³²³²¼­,195,19.95,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:40,16.9,¼­ºÏ¼­,289,19.99,-,-,-,-,-,-,-,-,-,-
2024-06-02 21:50,11.6,³²³²¼­,213,20,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:00,13.2,³²³²¼­,211,20.05,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:10,18.5,³²³²¼­,203,19.88,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:20,10.2,¼­ºÏ¼­,302,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:30,9.2,³²¼­,223,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:40,12.1,³²³²¼­,200,19.5,-,-,-,-,-,-,-,-,-,-
2024-06-02 22:50,10.1,³²¼­,217,19.5,-,-,-,-,-,-,-,-,-,-
